Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Педагог-организатор,Образование и воспитание,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/pedagog-organizator~2856968,Молодежная практика,
Тренер-преподаватель по спорту,Образование и воспитание,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/trener-prepodavatel-po-sportu~2856969,Молодежная практика,
Педагог начальной школы,Образование и воспитание,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~2856970,Молодежная практика,
Журналист,Маркетинг и СМИ,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,"Анализ потока событий, обработка актуальных событий, написание материала;",https://enbek.kz/ru/vacancy/zhurnalist~2856971,Молодежная практика,Журналистика
Юрист,Юриспруденция,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~2856973,Молодежная практика,Юриспруденция
Экономист,Финансы и бухучет,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета;,https://enbek.kz/ru/vacancy/ekonomist~2856974,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2856976,Молодежная практика,Финансы
Офис-менеджер,HR и секретариат,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Подготовка писем и обращений;,https://enbek.kz/ru/vacancy/ofis-menedzher~2856975,Молодежная практика,Менеджмент
Фельдшер,Медицина и фармацевтика,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Оказание неотложной медицинской помощи;,https://enbek.kz/ru/vacancy/feldsher~2852722,Первое рабочее место,Медицина
Менеджер по персоналу,HR и секретариат,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Решение вопросов кадрового обеспечения;,https://enbek.kz/ru/vacancy/menedzher-po-personalu~2852724,Первое рабочее место,Менеджмент
Филолог,Маркетинг и СМИ,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 16.01.2023,Адреса нет,полный день,Проектная работа,Редактирование и исправление переведенного материала;,https://enbek.kz/ru/vacancy/filolog~2852723,Первое рабочее место,Журналистика
Личный помощник,HR и секретариат,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 16.01.2023,Адреса нет,полный день,Проектная работа,Встреча и учет посетителей;,https://enbek.kz/ru/vacancy/lichnyi-pomoshchnik~2852725,Первое рабочее место,Менеджмент
Корреспондент,Маркетинг и СМИ,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 16.01.2023,Адреса нет,полный день,Проектная работа,"Поддержка веб-страницы компании в Интернете, социальных сетях;",https://enbek.kz/ru/vacancy/korrespondent~2852727,Первое рабочее место,Журналистика
Тренер,Образование и воспитание,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 16.01.2023,Адреса нет,полный день,Проектная работа,Оказание первой медицинской помощи;,https://enbek.kz/ru/vacancy/trener~2852728,Первое рабочее место,
Офис-менеджер,HR и секретариат,от 103 500 тенге,"Общественное объединение ""Темиртауский Молодежный Клуб""",Вакансия опубликована 16.01.2023,Адреса нет,полный день,Проектная работа,Подготовка писем и обращений;,https://enbek.kz/ru/vacancy/ofis-menedzher~2852726,Первое рабочее место,Менеджмент
Тренер-преподаватель по спорту,Культура и спорт,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Спортивный клуб ""Тау"" акимата города Темиртау отдела культуры, развития языков, физической культуры и спорта города Темиртау",Вакансия опубликована 16.01.2023,Адреса нет,полный день,Проектная работа,Проведение аттестации профессионального уровня;,https://enbek.kz/ru/vacancy/trener-prepodavatel-po-sportu~2839053,Молодежная практика,
