Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Помощник бухгалтера,18,до 90 000 KZT на руки,ТОО ТЕКС,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, улица Маметовой, 67",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80505208,,Финансы
SPA Receptionist,72,з/п не указана,ТОО Alterra Inn,Вакансия опубликована 25 мая 2023 в Алматы,"Алматы, Абая, проспект Достык",сменный график,Полная занятость,Teamplayer;Time management;Английский язык;Sales Management;Customer Relationship Management;Управление продажами;Организаторские навыки;Грамотная речь;Деловая коммуникация;Навыки продаж;,https://almaty.hh.kz/vacancy/80992413,,
Старший бизнес технолог/аналитик,150,з/п не указана,ТОО Микрофинансовая организация MyCar Finance,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Внедрение ПО;Системная интеграция;Colvir;Анализ АБС;Автоматизация;,https://almaty.hh.kz/vacancy/80877625,,Менеджмент
Медсестра/медбрат в стоматологию,64,от 150 000 KZT до вычета налогов,ТОО Орбита-Дэнт,Вакансия опубликована 28 мая 2023 в Алматы,"Алматы, улица Беринга, 44",полный день,Полная занятость,Пользователь ПК;Точность и внимательность к деталям;MS PowerPoint;Измерение АД;Уколы;Работа в условиях многозадачности;Опрятный внешний вид;Образованность;Ответственность и пунктуальность;Работа с большим объемом информации;Готовность к командному труду;Желание учиться и развиваться;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/76573984,,Медицина
Юрисконсульт,145,от 200 000 до 250 000 KZT на руки,ТОО NLS Kazakhstan,Вакансия опубликована 26 мая 2023 в Алматы,"Алматы, проспект Аль-Фараби, 95",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/78131591,,
Chemistry Content Specialist,40,з/п не указана,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",Вакансия опубликована 2 мая 2023 в Алматы,Алматы,полный день,Частичная занятость,Chemistry;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/79987673,,
Бухгалтер-стажер,18,от 70 000 KZT до вычета налогов,ТОО Просто Аутсорсинг Алматы,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, Театр имени Ауэзова, улица Жандосова, 1/1",полный день,Стажировка,Ответственность;многозадачность;1C: Бухгалтерия;,https://almaty.hh.kz/vacancy/76710827,,Финансы
Specialist (Audit Department),137,з/п не указана,ТОО EY (Ernst & Young),Вакансия опубликована 18 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Accounting;MS Excel;MS Word;1C: Бухгалтерия;Ведение переговоров;Английский язык;Бухгалтерская отчетность;Деловая переписка;Деловое общение;Internet;MS Outlook;Консультирование;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80628533,,Финансы
Преподаватель по географии,132,от 150 000 до 150 000 KZT на руки,ТОО Білімді Болашақ,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, улица Мауленова, 85",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81255422,,
"Intern in Transfer Pricing, Tax&Legal Department, Almaty/Astana",18,з/п не указана,ТОО KPMG,Вакансия опубликована 23 мая 2023 в Алматы,Алматы,полный день,Стажировка,Английский язык;MS PowerPoint;Business English;Data Analysis;Time management;Taxation;,https://almaty.hh.kz/vacancy/80892504,,Финансы
Слесарь-монтажник,115,от 250 000 KZT на руки,ТОО Альянс региональных групп оптового сбыта,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Мобильность;Точность и внимательность к деталям;Умение расставлять приоритеты;,https://almaty.hh.kz/vacancy/80787446,,Сервисное обслуживание/производство
Пекарь-кондитер,94,от 100 000 до 190 000 KZT на руки,ИП Plum Tea,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, микрорайон Тастак-2, 8",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80292569,,
Ресепшионист,8,от 150 000 KZT на руки,ТОО Sac de Voyage,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, Байконур, улица Курмангазы, 93/1",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/79427836,,
Менеджер по продажам,40,з/п не указана,Kaspi.kz,Вакансия опубликована 3 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Коммерческая недвижимость;Навыки переговоров;Навыки продаж;Прямые продажи;Деловая этика;Поиск и привлечение клиентов;Телефонные переговоры;Деловое общение;Подбор недвижимости по запросу клиента;Продажи;,https://almaty.hh.kz/vacancy/80020070,,
Технолог кулинарного производства,94,з/п не указана,ТОО Сабыржан Company,Вакансия опубликована 15 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Контроль качества;Производственный контроль;Общественное питание;Работа с поставщиками;Контроль сроков годности;Технический контроль производства;Управление производством;Технологии производства блюд;технологические карты;,https://almaty.hh.kz/vacancy/80411212,,
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,ТОО Новатор Фарма,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80996157,,Медицина
Дистрибьютор продуктов питания для клиентов сегмента HoReCa,40,з/п не указана,ТОО Noblesse Food,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, Райымбек батыра, микрорайон Атырау, 3",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80866779,,
Специалист по взаимоотношениям с партнёрами,40,з/п не указана,АО Home Credit Bank,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, ул. Фурманова (угол ул. Хаджимукана), 248, БЦ ""Сарканд""",полный день,Полная занятость,"Стабильность;Обучение и развитие;Адаптивность;Гибкость;Работа с банками;Систематизация архивной документации;знание компьютера, программ MS Office;",https://almaty.hh.kz/vacancy/80292349,,
Инженер электрик и инженер механик,66,з/п не указана,ТОО Алпром,Вакансия опубликована 11 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Английский язык;Грамотность;Турецкий язык;Работа в команде;Деловая переписка;Пользователь ПК;Грамотная речь;Ведение переговоров;Ведение переписки;Телефонные переговоры;Деловое общение;,https://almaty.hh.kz/vacancy/80304662,,Менеджмент
Стажер в HR,40,з/п не указана,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Стажировка,пунктуальность;Массовый подбор персонала;Ориентация на результат;Аналитическое мышление;,https://almaty.hh.kz/vacancy/79199386,,
Дезинфектор (Специалист по борьбе с вредителями),85,от 250 000 KZT на руки,ТОО ORKIN,Вакансия опубликована 27 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Грамотная речь;Работа с людьми;Ориентация на клиента;Способность быстро обучаться;Умение общаться с людьми;,https://almaty.hh.kz/vacancy/80017093,,Сервисное обслуживание/производство
