Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Стажер рубщика,40,от 180 000 KZT до вычета налогов,ТОО Porkum,Вакансия опубликована 29 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Нурсултана Назарбаева",полный день,Стажировка,Опрятность;Готовность обучаться;Не конфликтность;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/81218927,,
Оператор 1С,113,до 185 000 KZT до вычета налогов,ТОО МФО Береке,Вакансия опубликована 26 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,Оператор ПК;Грамотность;Офисная техника;Знание MS Office;1С: Документооборот;Работа с существующей базой клиентов;Быстрая скорость печати;,https://almaty.hh.kz/vacancy/81081160,,IT
Электромонтер,143,от 230 000 до 400 000 KZT на руки,ТОО Drive Industrial Systems,Вакансия опубликована 17 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,"Чтение электросхем;Работа с электроинструментом;Коммуникабельность, ответственность;Умение работать в команде;Электромонтажные работы;Монтаж оборудования;",https://almaty.hh.kz/vacancy/80618741,,Сервисное обслуживание/производство
Оператор на аттракционы,40,з/п не указана,ИП Никипелов С.С.,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80352207,,
Вахтер,40,от 45 000 KZT до вычета налогов,ТОО Вектор Про (ТМ Мир дерева),Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Михаила Чистякова, 11",сменный график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80706653,,
Помощник бухгалтера,18,до 150 000 KZT на руки,ТОО Қыран Агро Шығыс,Вакансия опубликована 22 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Абая, 205",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80821145,,Финансы
Оператор ПК,84,от 140 000 до 150 000 KZT на руки,ТОО Восток-Молоко,Вакансия опубликована 16 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Новаторов, 10",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80482493,,IT
Менеджер по закупкам/Специалист по логистике и ВЭД,66,от 300 000 KZT до вычета налогов,ТОО TransMentor,Вакансия опубликована 13 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Кабанбай батыра, 49",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80381656,,Менеджмент
Тренер - инструктор тренажёрного зала,138,от 70 000 до 200 000 KZT на руки,ИП ЕРАСОВ А. А,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80927497,,
Акушерка/акушер,64,з/п не указана,Учреждение Амбулаторный центр,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Абая, 18",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81010888,,Медицина
Формовщик стеклопластиковых изделий,40,от 200 000 до 350 000 KZT на руки,ТОО Din Tex,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80334855,,
Специалист по обслуживанию и ремонту,40,от 70 000 до 200 000 KZT на руки,ИП Крэйзирайдер,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,гибкий график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80920403,,
Мастер ногтевого сервиса,61,от 120 000 KZT на руки,ИП Медведева Я.О,Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Максима Горького, 64",полный день,Полная занятость,Маникюр;Педикюр;Креативность;Обучение и развитие;,https://almaty.hh.kz/vacancy/80855929,,
Менеджер по продажам,40,от 180 000 KZT до вычета налогов,Филиал ТОО КазСвет Group в городе Усть-Каменогорск.,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Сагадата Нурмагамбетова, 4",полный день,Полная занятость,Пользователь ПК;Грамотная речь;Поиск и привлечение клиентов;Телефонные переговоры;Холодные продажи;оформление документации;,https://almaty.hh.kz/vacancy/78824602,,
Оператор аттракциона,40,от 100 000 KZT на руки,ТОО 710 OIL,Вакансия опубликована 7 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79018674,,
Помощник менеджера по продажам,54,от 80 000 KZT на руки,ТОО Tanauto Vostok,Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Металлургов, 14А",полный день,Полная занятость,Пользователь ПК;Грамотная речь;Работа в команде;Навыки продаж;Грамотность;,https://almaty.hh.kz/vacancy/80685020,,Менеджмент
Агроном Биолог,7,от 130 000 до 140 000 KZT на руки,"Гос. корп. ВКО КАРАНТИННАЯ ЛАБОРАТОРИЯ, ФИЛИАЛ ГУ РЦ КАРАНТИНА РАСТЕНИЙ КОМИТЕТА ГОСУДАРСТВЕННОЙ ИНСПЕКЦИИ В АКМ СЕЛЬСКОГО ХОЗЯЙСТВА РК",Вакансия опубликована 2 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79961595,,
Фармацевт - провизор,133,от 150 000 KZT на руки,ИП АБДУЛАЕВ ВАСИФ ЯВАР-ОГЛЫ,Вакансия опубликована 15 мая 2023 в Усть-Каменогорске,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80427606,,Медицина
Монтажник - рекламщик,78,от 150 000 KZT на руки,ИП Агапеева О.А,Вакансия опубликована 29 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Серикбаева, 1К1",полный день,Полная занятость,Работа в команде;Наружная реклама;,https://almaty.hh.kz/vacancy/81197655,,
Повар в столовую,94,от 165 000 до 190 000 KZT на руки,ИП Нечепуренко А.М,Вакансия опубликована 29 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81198414,,
Пиццерист (повар завтраков),94,до 187 000 KZT на руки,ИП Нечепуренко А.М,Вакансия опубликована 4 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80089735,,
Токарь,128,от 250 000 KZT до вычета налогов,ТОО СКРП Полиус,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80923720,,Сервисное обслуживание/производство
Торговый представитель на регион и город,129,от 150 000 до 300 000 KZT на руки,ИП Заря УК,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Кабанбай Батыра, 23/2",полный день,Полная занятость,Активные продажи;Развитие продаж;Планирование продаж;Ориентация на результат;Навыки переговоров;работа с текущей базой клиентов;Мерчендайзинг;Умение работать в коллективе;Умение планировать;,https://almaty.hh.kz/vacancy/80948088,,
Слесарь-электрик по ремонту электрооборудования,143,от 240 000 KZT до вычета налогов,ТОО СКРП Полиус,Вакансия опубликована 2 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,"ответственный, целеустремленный профессионал своего дела;",https://almaty.hh.kz/vacancy/79961114,,Сервисное обслуживание/производство
Моторист багерной насосной,40,з/п не указана,ТОО Усть-Каменогорская ТЭЦ,Вакансия опубликована 16 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Промышленная улица, 2",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80488649,,
Электромонтер по ремонту обмоток и изоляции электрооборудования,144,з/п не указана,ТОО Электродвигатель,Вакансия опубликована 14 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Промышленная улица, 1",полный день,Полная занятость,Умение быстро усваивать новую информацию;Эксплуатация электрооборудования;Ответственность и пунктуальность;Желание работать и развиваться;Быстрообучаемый;Точность и внимательность;,https://almaty.hh.kz/vacancy/79303243,,Сервисное обслуживание/производство
Администратор,8,от 120 000 KZT на руки,ИП AQUA BABY,Вакансия опубликована 15 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Сагадата Нурмагамбетова, 42/1",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80405086,,
Медицинская сестра (медицинский брат)/ассистент врача стоматолога,64,от 120 000 до 200 000 KZT на руки,ТОО Smile Clinic,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Антона Чехова, 72",полный день,Полная занятость,Пользователь ПК;Работа в команде;Навыки межличностного общения;Стоматология;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80330131,,Медицина
Администратор,8,от 160 000 до 180 000 KZT до вычета налогов,ИП Иванова (TERRASPORT fitness club),Вакансия опубликована 2 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Независимости, 5/3",сменный график,Полная занятость,Пользователь ПК;Грамотная речь;Работа в команде;Навыки продаж;Проведение ревизий;,https://almaty.hh.kz/vacancy/79984486,,
Инженер-химик / специалист испытательной лаборатории,40,от 200 000 KZT до вычета налогов,ТОО ЦентрЭКОпроект,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,Пользователь ПК;Ведение отчетности;оформление документации;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80332749,,
Помощник резчика по стеклу,40,от 150 000 до 200 000 KZT на руки,ИП ЛЕНВИТ Поршнева Елена Анатольевна,Вакансия опубликована 2 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Калинина, 87",полный день,Полная занятость,Ответственность и исполнительность;Умение находить общий язык;,https://almaty.hh.kz/vacancy/78921978,,
Дизайнер,34,от 150 000 KZT на руки,ТОО Debut (Дебют),Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Максима Горького, 48/1",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80215259,,Массмедиа
