Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Мастер по установке бытовой техники,78,от 200 000 KZT на руки,не требуется,Sulpak,Вакансия опубликована 26 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79289572
Кассир,40,з/п не указана,не требуется,"Small, ТМ (Скиф Сауда, ТОО)",Вакансия опубликована 22 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80793602
Помощник юриста международного направления,145,з/п не указана,не требуется,Vita Liberta,Вакансия опубликована 27 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день","Акционерное право;Корпоративное право;Составление договоров;Юридический консалтинг;Юридическая поддержка;Налоговое право;Договорная работа;Консультант плюс;Английский язык;Юридическое сопровождение;Международное налогообложение;Поддержка иностранных граждан;Оформление разрешений на работу для иностранных сотрудников;контролируемые иностранные компании;Международное частное право;Налоговое законодательство;Налоговое планирование;Налоговые декларации;Испанский язык;китайский язык;Юридический перевод;Международное право;Перевод юридической документации;Мониторинг законодательства;Знание иностранных языков;Гражданское право;Свободное владение английским языком;Делопроизводство;Правовые системы;ИПС ""Кодекс"";Английский — C1 — Продвинутый;",https://almaty.hh.kz/vacancy/80663646
Travel Specialist (удаленно),72,от 400 до 800 USD до вычета налогов,не требуется,KIVORK,Вакансия опубликована 25 мая 2023 в Астане,Алматы,удаленная работа,"Полная занятость, удаленная работа",Английский язык;Работа с большим объемом информации;Поиск информации в интернет;Грамотность;Аналитическое мышление;Системное мышление;математика;точные науки;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80187347
Инженер по дополнительному оборудованию Отдела планирования поддержания летной годности,40,от 300 000 до 300 000 KZT до вычета налогов,не требуется,"Казавиаспас, АО",Вакансия опубликована 12 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Документальное сопровождение;Техническая грамотность;Работа с технической документацией;,https://almaty.hh.kz/vacancy/80333269
Сервисный инженер,111,от 200 000 KZT на руки,не требуется,ТОО Техно Маркет Астана,Вакансия опубликована 27 мая 2023 в Астане,"Нур-Султан (Астана), улица Ахмета Байтурсынова, 43",полный день,"Полная занятость, полный день",Мобильность;Электрические системы и слаботочные системы;Техническое обслуживание;,https://almaty.hh.kz/vacancy/80434164
Bellboy/Швейцар,40,до 140 000 KZT на руки,не требуется,ТОО Азия-Лайн,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), улица Кадыргали Жалаири, 4",сменный график,"Полная занятость, сменный график",Пользователь ПК;Грамотная речь;Работа в команде;Английский язык;Грамотность;,https://almaty.hh.kz/vacancy/81017261
Оператор All Market,84,до 160 000 KZT на руки,не требуется,ТОО Алтын Алма,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), шоссе Алаш, 24/3",полный день,"Полная занятость, полный день",Пользователь ПК;Умение работать в команде;оформление заказов;исходящие звонки;Консультирование клиентов по телефону;входящие звонки;Заказ товара;,https://almaty.hh.kz/vacancy/81070954
Бухгалтер - оператор,40,до 200 000 KZT до вычета налогов,не требуется,ТОО Шафия (Аптечная сеть Альфамед),Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), проспект Абылай Хана, 59",полный день,"Полная занятость, полный день",Уверенный пользователь ПК;Первичная бухгалтерская документация;Документооборот;,https://almaty.hh.kz/vacancy/78179282
"Ассистент Декана (Высшая школа образования, grade 12 ссылка для подачи резюме:https://smrtr.io/dYpT7",40,з/п не указана,не требуется,Nazarbayev University,Вакансия опубликована 10 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Профессиональные компетенции - Знание законодательства Республики Казахстан в сфере образования; -;Английский язык;Грамотная речь;Деловая корреспонденция;Ориентация на результат;Деловая переписка;Административная поддержка руководителя;MS PowerPoint;Деловая коммуникация;,https://almaty.hh.kz/vacancy/80241442
Бренд - менеджер,68,от 300 000 до 600 000 KZT на руки,не требуется,"ТОО Этажи, ТМ (ТОО Etagi Almaty)",Вакансия опубликована 17 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Ведение переговоров;Грамотность;Ведение переписки;Телефонные переговоры;входящие звонки;Работа с большим объемом информации;Деловое общение;Коммуникация;Работа с документами;Грамотная речь;,https://almaty.hh.kz/vacancy/80579388
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 19 мая 2023 в Астане,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/79890396
Ведущий специалист Отдела поддержки продаж (Астана),137,з/п не указана,не требуется,"Евразийский банк, АО",Вакансия опубликована 5 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа в команде;Грамотность;Работа с большим объемом информации;,https://almaty.hh.kz/vacancy/73386818
Бухгалтер материального стола,18,до 150 000 KZT на руки,не требуется,ТОО Первый БИТ,Вакансия опубликована 23 мая 2023 в Астане,"Астана, улица Иманбаевой, 8к2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80864734
Менеджер по логистике,67,от 150 000 до 250 000 KZT до вычета налогов,не требуется,ТОО КАЗАХСТАН-МЕД ДЕЗ,Вакансия опубликована 26 мая 2023 в Астане,"Астана, проспект Кабанбай Батыра, 46Б",полный день,"Полная занятость, полный день",Учет остатков;Транспортная логистика;Логистика;Работа с поставщиками;Логистика поставок;,https://almaty.hh.kz/vacancy/80158180
Кредитный специалист / Менеджер по работе с клиентами,57,з/п не указана,не требуется,ТОО MFO BNK Finance Kazakhstan,Вакансия опубликована 27 мая 2023 в Астане,"Астана, улица Сыганак, 54/2",полный день,"Полная занятость, полный день",Пользователь ПК;Навыки продаж;Работа с людьми;Продажа кредитных продуктов;Кредитные договоры;Поиск и привлечение клиентов;Опыт продаж;навыки прямых продаж;Активные продажи;,https://almaty.hh.kz/vacancy/80357538
Мастер по сборке интерьерных карт мира,40,до 150 000 KZT на руки,не требуется,ИП Ecomaps,Вакансия опубликована 22 мая 2023 в Астане,"Нур-Султан (Астана), проспект Абая, 76",полный день,"Полная занятость, полный день","Работа в команде;Способность обучать других;Internet;Лазерная техника;Желание обучаться;Лояльность;Навыки разрешения спорных ситуаций;Желание работать и зарабатывать;Смекалка;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80802603
Установщик автостекол,5,от 270 000 до 350 000 KZT до вычета налогов,не требуется,Автотрейд,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Александра Пушкина, 71/4",полный день,"Полная занятость, полный день",Знание устройства автомобиля;Желание работать и зарабатывать;,https://almaty.hh.kz/vacancy/79962237
Кассир-контролер,40,з/п не указана,не требуется,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 15 мая 2023 в Астане,"Астана, проспект Абая, 75",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80398719
Bellboy/Посыльный,40,з/п не указана,не требуется,ТОО Sheraton Astana Hotel,Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Сыганак, 60/5",полный день,"Полная занятость, полный день",Английский язык;Организаторские навыки;Пользователь ПК;Деловое общение;,https://almaty.hh.kz/vacancy/77057292
Дворник,40,от 200 000 KZT на руки,не требуется,ТОО PPR service,Вакансия опубликована 4 мая 2023 в Астане,"Астана, проспект Туран, 18",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80100941
