Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Junior QA Engineer,124,з/п не указана,не требуется,ТОО G5EN KAZ,Вакансия опубликована 9 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Bug Reporting;Check-list;Jira;Atlassian Confluence;Quality Control;Analytical skills;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80198999
Промоутер (электросамокаты),40,от 160 000 до 170 000 KZT на руки,не требуется,ТОО Jet Sharing,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80846806
Помощник бухгалтера,33,от 180 000 до 200 000 KZT на руки,не требуется,ТОО RostFood KZ,Вакансия опубликована 22 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80807738
Младший СММ менеджер,3,до 120 000 KZT до вычета налогов,не требуется,ТОО B2B-World,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Сыганак, 47",полный день,"Полная занятость, полный день",Adobe Photoshop;Грамотная речь;Грамотность;Обучение и развитие;СММ;Canva;Русский язык;Быстрое обучение;,https://almaty.hh.kz/vacancy/79080757
Специалист на ресепшен в Бизнес-Центр,8,от 200 000 KZT на руки,не требуется,ТОО DOWNTOWN MANAGEMENT,Вакансия опубликована 2 мая 2023 в Астане,"Астана, проспект Рахимжана Кошкарбаева, 1/5",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79963481
Медицинская сестра/Медицинский брат,64,з/п не указана,не требуется,ТОО Interteach,Вакансия опубликована 22 мая 2023 в Астане,"Нур-Султан (Астана), проспект Кабанбай Батыра, 48/6",полный день,"Полная занятость, полный день",Деловая этика;Уколы;Общение с людьми;,https://almaty.hh.kz/vacancy/80786212
Начинающий главный инженер проекта,46,от 300 000 KZT на руки,не требуется,"ТОО Astana Mall Trading,ТОО",Вакансия опубликована 26 мая 2023 в Астане,"Астана, проспект Тауелсиздик, 34",сменный график,"Полная занятость, сменный график",Работа с большим объемом информации;Проектная документация;Лидерство;Бюджетирование;Работа в команде;Управление проектами;Организаторские навыки;Управление персоналом;Ведение переговоров;Подбор персонала;Умение работать в условиях многозадачности;Руководство людьми;Подбор сотрудников;Обучение и развитие;Стремление к профессиональному росту;Критически мыслить;Навыки продаж;,https://almaty.hh.kz/vacancy/80389493
Системный администратор,113,от 150 000 до 200 000 KZT на руки,не требуется,ТОО SEED Educational Complex,Вакансия опубликована 18 мая 2023 в Астане,"Астана, улица Бухар Жырау, 21",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80640638
Администратор фитнес-клуба,8,от 120 000 до 180 000 KZT на руки,не требуется,ИП Иргалиева (Bronx Boxing Club),Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Достык, 18",сменный график,"Полная занятость, сменный график",Работа с ТМЦ;Учет товаров;Работа с кассой;Управление продажами;Навыки продаж;Консультативные продажи;B2C продажи;Материальная ответственность;Спортивные мероприятия;Работа в команде;Поиск и привлечение клиентов;Прямые продажи;Административно-хозяйственная деятельность;SMM;,https://almaty.hh.kz/vacancy/80074225
Скаут (электросамокаты),40,от 140 000 до 180 000 KZT на руки,не требуется,ТОО Jet Sharing,Вакансия опубликована 24 мая 2023 в Астане,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80198636
Менеджер отдела открытия,71,з/п не указана,не требуется,ТОО ZHAN COFFEE,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), микрорайон Шубар, улица Елубая Тайбекова, 47",полный день,"Полная занятость, полный день",Грамотная речь;Пользователь ПК;Работа в команде;Работа с большим объемом информации;Деловая переписка;Грамотность;Деловое общение;Подготовка отчетов;,https://almaty.hh.kz/vacancy/81101313
Фасовщица/фасовщик,85,до 150 000 KZT на руки,не требуется,ТОО JFOOD KAZAKHSTAN,Вакансия опубликована 11 мая 2023 в Астане,"Нур-Султан (Астана), проспект Аль-Фараби, 39",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80299111
"Ассистент Вице-декана, Высшая школа образования ссылка для резюме: https://smrtr.io/f5BfR",40,з/п не указана,не требуется,Nazarbayev University,Вакансия опубликована 17 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Английский язык;Работа в команде;Организаторские навыки;Деловое общение;Управление временем;Организация учебного процесса;Планирование рабочего дня руководителя;,https://almaty.hh.kz/vacancy/80565147
Помощник юриста,145,от 330 000 KZT на руки,не требуется,ТОО Правовые Партнеры,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80080302
Администратор,8,от 500 USD до вычета налогов,не требуется,ООО Флора-Ф,Вакансия опубликована 3 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80026063
Мобилограф/Продюсер Reels,3,з/п не указана,не требуется,ИП Ли Т.Э (Умскул),Вакансия опубликована 18 мая 2023 в Астане,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Видеомонтаж;Творческое мышление;YouTube;Монтаж видео;Креативность;,https://almaty.hh.kz/vacancy/80663922
Помощник бухгалтера,18,от 250 000 до 300 000 KZT на руки,не требуется,ТОО АМК-Метиз,Вакансия опубликована 12 мая 2023 в Астане,"Алматы, улица Бекмаханова, 96/4",полный день,"Полная занятость, полный день",Первичная документация;Пользователь ПК;1С: Бухгалтерия;,https://almaty.hh.kz/vacancy/80343708
"Сборщик заказов, подработка",40,з/п не указана,не требуется,ТОО Magnum E-commerce Kazakhstan,Вакансия опубликована 19 мая 2023 в Астане,"Нур-Султан (Астана), трасса Астана - Караганда, 45",гибкий график,"Частичная занятость, гибкий график",Работа на складе;Умение быстро усваивать новую информацию;Желание работать и зарабатывать;,https://almaty.hh.kz/vacancy/80684546
"Администратор (Супервайзер) в ночь , клининговую компанию",8,от 220 000 до 220 001 KZT до вычета налогов,не требуется,ТОО Vita Service 2016,Вакансия опубликована 27 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Управление персоналом;Способность обучать других;Ведение отчетности;оформление документации;Мобильность;Умение работать в коллективе;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/77056013
Специалист отдела кадров,117,от 250 000 до 350 000 KZT до вычета налогов,не требуется,ТОО Азия Сталь Казахстан,Вакансия опубликована 20 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80769032
Ресепшионист / Администратор,8,от 150 000 KZT на руки,не требуется,ИП Априори-НТ,Вакансия опубликована 27 мая 2023 в Астане,Алматы,сменный график,"Полная занятость, сменный график",Грамотная речь;Деловое общение;Пользователь ПК;Деловая этика;Навыки межличностного общения;,https://almaty.hh.kz/vacancy/80038943
Графический дизайнер,34,от 130 000 KZT на руки,не требуется,ТОО Invictus Astana,Вакансия опубликована 12 мая 2023 в Астане,"Нур-Султан (Астана), жилой комплекс Зелёный Квартал",полный день,"Полная занятость, полный день",Adobe Illustrator;Adobe Photoshop;Подготовка презентаций;Adobe CS;,https://almaty.hh.kz/vacancy/80334929
Стажер Маркетолог / Офис Менеджер,68,от 19 000 до 47 000 руб. на руки,не требуется,Wanted,Вакансия опубликована 10 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",Казахский — B1 — Средний;Русский — B1 — Средний;,https://almaty.hh.kz/vacancy/80235347
Стажер-консультант 1С (бухгалтерия),18,от 90 000 до 200 000 KZT на руки,не требуется,ТОО RuSoft company,Вакансия опубликована 17 мая 2023 в Астане,"Астана, улица Сакена Сейфуллина, 4/1",полный день,"Полная занятость, полный день",Хорошее знание ПК;1C: Предприятие;Консультация клиентов;Умение работать в условиях многозадачности;Умение легко находить контакт с людьми;,https://almaty.hh.kz/vacancy/80587171
Администратор спа центра,8,от 145 000 KZT на руки,не требуется,ТОО АТИКО-Астана (Ramada by Wyndham Astana ТМ),Вакансия опубликована 24 мая 2023 в Астане,"Нур-Султан (Астана), улица Бейбитшилик, 8",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80930836
Техник по документообороту,40,от 220 000 до 220 000 KZT до вычета налогов,не требуется,"Казавиаспас, АО",Вакансия опубликована 5 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день","Работа с документами;оформление документации;Работа в условиях многозадачности;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80154656
"Kaspi Гид, г.Астана",40,з/п не указана,не требуется,Kaspi.kz,Вакансия опубликована 18 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Грамотность;Деловое общение;Деловая коммуникация;,https://almaty.hh.kz/vacancy/80626692
3D-моделлер,14,от 200 до 1 300 EUR до вычета налогов,не требуется,Nfinite,Вакансия опубликована 9 мая 2023 в Астане,Алматы,удаленная работа,"Полная занятость, удаленная работа",3ds Max;V-Ray;Adobe Photoshop;Autodesk 3ds Max;3D Моделирование;3D-графика;3D Max;,https://almaty.hh.kz/vacancy/80199547
Сборщик еды,94,от 120 000 до 126 000 KZT до вычета налогов,не требуется,ТОО Тен и Ко (TM BASILIC),Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Достык, 18",полный день,"Полная занятость, полный день",Умение работать в условиях многозадачности;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/81091738
Junior Marketing QA Engineer,124,з/п не указана,не требуется,ТОО G5EN KAZ,Вакансия опубликована 24 мая 2023 в Астане,Алматы,удаленная работа,"Полная занятость, удаленная работа",Русский — C1 — Продвинутый;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80920219
Мерчендайзер категории А,77,от 213 000 KZT до вычета налогов,не требуется,ТОО VIAKOM,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78866623
Помощник мастера по ремонту бытовой техники,162,от 385 000 до 1 100 000 руб. до вычета налогов,не требуется,СервисМэн,Вакансия опубликована 19 мая 2023 в Астане,Алматы,сменный график,"Полная занятость, сменный график",Поиск информации в интернет;Желание обучаться;Желание работать и зарабатывать;Высокие коммуникативные навыки;Желание работать и развиваться;,https://almaty.hh.kz/vacancy/80701500
Инженер по обслуживанию медицинской техники,111,от 280 000 до 305 000 KZT до вычета налогов,не требуется,ТОО TeDeCo,Вакансия опубликована 1 мая 2023 в Астане,"Нур-Султан (Астана), улица Темирбека Жургенова, 18/1",полный день,"Полная занятость, полный день",Умение работать в команде;Стремление к профессиональному росту;Работа с компьютером;Грамотная устная речь;Русский — C1 — Продвинутый;Казахский — A1 — Начальный;,https://almaty.hh.kz/vacancy/79950742
Фитнес - инструктор,138,от 200 000 до 800 000 KZT на руки,не требуется,ТОО ARTER,Вакансия опубликована 1 мая 2023 в Астане,"Нур-Султан (Астана), улица Жамбыла, 8",полный день,"Частичная занятость, полный день",Спортивное питание;Активные продажи;Пользователь ПК;Грамотная речь;Фитнес;,https://almaty.hh.kz/vacancy/79760819
Сотрудник,40,от 180 000 до 180 000 KZT на руки,не требуется,ИП Праздник жизни,Вакансия опубликована 22 мая 2023 в Астане,Астана,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80790898
Оператор (аттракционы),40,от 140 000 KZT на руки,не требуется,ТОО Mall Management Company,Вакансия опубликована 26 мая 2023 в Астане,"Астана, проспект Туран, 37",полный день,"Полная занятость, полный день",Навыки межличностного общения;Деловое общение;Пользователь ПК;Грамотная речь;,https://almaty.hh.kz/vacancy/81087674
PR&Marketing Generalist (Астана),2,от 350 000 KZT до вычета налогов,не требуется,ТОО Delta LLP,Вакансия опубликована 24 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",SMM;Маркетинговый анализ;Работа со СМИ;Деловая переписка;Проведение презентаций;PR;Копирайтинг;Ребрендинг;B2B маркетинг;Адаптация рекламных роликов;Вывод компании на рынок;Английский — B2 — Средне-продвинутый;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80925374
Смм - маркетолог,3,з/п не указана,не требуется,ТОО Stone House (Стоун Хаус),Вакансия опубликована 27 мая 2023 в Астане,"Астана, улица Жетиген, 40",гибкий график,"Частичная занятость, гибкий график",Проведение презентаций;навыки составления коммерческих предложений;Анализ PR стратегии конкурентов;Анализ целевой аудитории;Google Docs;Canva;Adobe Photoshop;Копирайтинг;,https://almaty.hh.kz/vacancy/80926323
Помощник юриста,145,от 200 000 KZT на руки,не требуется,ИП Ego Sum Lex,Вакансия опубликована 14 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Консультирование;Грамотность;Навыки продаж;Деловое общение;Активные продажи;Консультирование клиентов;Работа с людьми;,https://almaty.hh.kz/vacancy/79317773
Финансовый Консультант в Евразийский Банк,137,от 70 000 до 300 000 KZT до вычета налогов,не требуется,"Евразийский банк, АО",Вакансия опубликована 18 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80622903
Тайный покупатель,40,з/п не указана,не требуется,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Астане,Алматы,полный день,"Проектная работа/разовое задание, полный день",Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239867
Глава представительства фармацевтической компании,40,з/п не указана,не требуется,Иностранная фармацевтическая компания,Вакансия опубликована 16 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80502497
Медицинская сестра/медицинский брат,64,от 180 000 KZT до вычета налогов,не требуется,ИП БАХТИЯРОВА А.Б,Вакансия опубликована 3 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Поиск информации в интернет;Умение планировать;Умение работать в команде;Казахский — C1 — Продвинутый;Русский — B1 — Средний;,https://almaty.hh.kz/vacancy/80055857
Помощник монтажника,78,до 200 000 KZT до вычета налогов,не требуется,ТОО Florence,Вакансия опубликована 18 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Флористика;Аналитические способности;Выносливость;Грамотная устная и письменная речь;,https://almaty.hh.kz/vacancy/80621269
Intern in Consulting department (ESG),40,з/п не указана,не требуется,ТОО EY (Ernst & Young),Вакансия опубликована 18 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",ESG;Risks;Анализ данных;Английский язык;Работа в команде;,https://almaty.hh.kz/vacancy/79448555
Главный специалист сектора академической мобильности,40,от 140 000 до 250 000 KZT до вычета налогов,не требуется,АО Евразийский национальный университет им. Л.Н. Гумилева,Вакансия опубликована 12 мая 2023 в Астане,"Астана, улица Каныша Сатпаева, 2А",полный день,"Полная занятость, полный день",Английский язык;Деловая коммуникация;Креативность;Высокая степень ответственности;Работа в команде;Английский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80362377
Помощник экономиста,40,от 150 000 до 160 000 KZT на руки,не требуется,ТОО Александрит ИВ,Вакансия опубликована 15 мая 2023 в Астане,город Косшы,полный день,"Полная занятость, полный день",Работа с накладными;Пользователь ПК;Excel;Желание обучаться;Работа с компьютером;Быстрое обучение;Высшее образование;Знание компьютера;,https://almaty.hh.kz/vacancy/80399612
Специалист Департамента проектного анализа,40,от 250 000 до 300 000 KZT до вычета налогов,не требуется,"АО Фонд Развития Промышленности, АО",Вакансия опубликована 22 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80820496
Бухгалтер по МСФО,18,з/п не указана,не требуется,ТОО Казгер-Кус,Вакансия опубликована 12 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80346494
Помощник повара,94,от 160 000 до 240 000 KZT до вычета налогов,не требуется,ТОО Whoopie Cakes,Вакансия опубликована 11 мая 2023 в Астане,"Нур-Султан (Астана), проспект Улы Дала, 7/2",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80291090
Управляющий КСК,76,от 300 000 до 350 000 KZT на руки,не требуется,ТОО SMART CONSTRUCTION 2020,Вакансия опубликована 27 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80659251
Куратор в учебный центр,40,з/п не указана,не требуется,ИП Центр подготовки (AIPLUS),Вакансия опубликована 28 мая 2023 в Астане,"Нур-Султан (Астана), улица Сыганак, 43",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Грамотность;Административная поддержка руководителя;Навыки межличностного общения;,https://almaty.hh.kz/vacancy/80787455
Специалист Отдела Кадрового Администрирования,117,от 200 000 до 200 000 KZT на руки,не требуется,ТОО Apple City Corps,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Жетиген, 32",полный день,"Полная занятость, полный день",Кадровое делопроизводство;1С: Зарплата и управление персоналом;Ответственное хранение;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/81069995
Торговый представитель бренд Procter&Gamble,129,от 200 000 до 450 000 KZT до вычета налогов,не требуется,ТОО Apple City Corps,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Жетиген, 32",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79831840
Администратор/Call-center в Музыкальную Школу Music History,8,от 120 000 до 240 000 KZT на руки,не требуется,Евгений Золотухин,Вакансия опубликована 27 мая 2023 в Астане,Алматы,гибкий график,"Полная занятость, гибкий график","Телефонные переговоры;Внимательность к деталям, способность работать с большими массивами информации;Ориентация на результат;Мотивированность на результат обучения;Коммуникабельность;Продуктивность;",https://almaty.hh.kz/vacancy/80648946
Ученик мастера по ремонту бытовой техники,162,от 380 000 до 1 000 000 KZT на руки,не требуется,СервисМэн,Вакансия опубликована 16 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",Умение работать с клиентами;Удаленная работа;Способность быстро обучаться;,https://almaty.hh.kz/vacancy/79522175
Ресепшионист (Reception / Регистратор),72,от 250 000 до 250 000 KZT на руки,не требуется,ТОО Астана Тауэр Ишлетме,Вакансия опубликована 28 мая 2023 в Астане,"Нур-Султан (Астана), микрорайон Самал, 12",сменный график,"Полная занятость, сменный график",Английский язык;Делопроизводство;Деловая коммуникация;Деловой этикет;Прием и распределение телефонных звонков;Знание иностранных языков;Работа с документами;Прием посетителей;Деловое общение;Грамотная речь;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80081834
Специалист по IT обслуживанию пользователей Офиса,121,з/п не указана,не требуется,Nazarbayev University,Вакансия опубликована 17 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Информационные технологии;Английский язык;MS PowerPoint;Техническая поддержка;интерактивное оборудование;аудиовизуальное оборудование;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80548031
Ресепшионист-кассир SKY Beach Club,72,от 150 000 KZT на руки,не требуется,ТОО Mall Management Company,Вакансия опубликована 22 мая 2023 в Астане,"Астана, проспект Туран, 37",сменный график,"Полная занятость, сменный график",R-Keeper;Грамотная речь;Знание иностранных языков;Прием посетителей;Кассовые операции;,https://almaty.hh.kz/vacancy/80786113
Стажер-консультант SAP,10,з/п не указана,не требуется,TerraLink,Вакансия опубликована 3 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",SAP FI;SAP PM;SAP MM;,https://almaty.hh.kz/vacancy/78817310
Представитель по обслуживанию торговых аппаратов (подработка),129,з/п не указана,не требуется,ТОО Торговая Компания Сатурн,Вакансия опубликована 26 мая 2023 в Астане,Алматы,полный день,"Частичная занятость, полный день",Пользователь ПК;Работа в команде;Материальная ответственность;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80478679
Хостес,140,з/п не указана,не требуется,ТОО Sheraton Astana Hotel,Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Сыганак, 60/5",полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;FineReader;Корпоративная этика;проведение опросов общественного мнения;,https://almaty.hh.kz/vacancy/74098365
Бухгалтер-экономист,18,от 200 000 до 1 000 000 KZT до вычета налогов,не требуется,ТОО Медиатур,Вакансия опубликована 17 мая 2023 в Астане,"Нур-Султан (Астана), переулок Иманова, 19",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80594530
Повар,94,от 180 000 до 192 000 KZT до вычета налогов,не требуется,ТОО Тен и Ко (TM BASILIC),Вакансия опубликована 12 мая 2023 в Астане,"Нур-Султан (Астана), улица Шаймердена Косшыгулулы, 24",полный день,"Полная занятость, полный день",Умение работать в условиях многозадачности;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80360694
Инженер (по финансовой части) Управления кибермониторинга и расследования инцидентов,116,з/п не указана,не требуется,АО Национальные информационные технологии,Вакансия опубликована 11 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80268997
Младший маркетолог,68,от 130 000 до 150 000 KZT на руки,не требуется,ТОО ТССП Казахстан,Вакансия опубликована 26 мая 2023 в Астане,"Астана, проспект Туран, 30А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80900688
Помощник инженера,48,от 150 000 KZT до вычета налогов,не требуется,ТОО LEVELEVEN,Вакансия опубликована 3 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа с большим объемом информации;ArchiCAD;Грамотная устная и письменная речь;Опытный пользователь ПК;Составление предложений о работе;Работа с чертежами;Быстрое обучение;Строительство;AutoCAD;Пользователь ПК;Работа в команде;Проектная документация;Деловое общение;Точность;Умение читать чертежи;,https://almaty.hh.kz/vacancy/77738004
Юрисконсульт,146,от 170 000 до 500 000 KZT до вычета налогов,не требуется,ТОО SND Engineering,Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Кенесары, 28",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81070242
Сборщик заказов (Подработка),40,з/п не указана,не требуется,ТОО Magnum E-commerce Kazakhstan,Вакансия опубликована 15 мая 2023 в Астане,"Акмолинская область, трасса Астана - Караганда, 45",сменный график,"Частичная занятость, сменный график",Работа в команде;оформление заказов;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/79825635
Менеджер по продажам / Менеджер отдела страхования,122,з/п не указана,не требуется,АО Нефтяная страховая компания,Вакансия опубликована 4 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Ориентация на результат;Развитие продаж;Деловая коммуникация;Ведение переговоров;Активные продажи;,https://almaty.hh.kz/vacancy/80077761
Менеджер по туризму,72,от 100 000 до 500 000 KZT до вычета налогов,не требуется,ТОО Aydana Tour Astana,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), улица Сыганак, 58",полный день,"Полная занятость, полный день",Активные продажи;Холодные продажи;Работа в команде;Навыки продаж;Прямые продажи;,https://almaty.hh.kz/vacancy/81004026
Медицинский регистратор,8,от 150 000 до 180 000 KZT на руки,не требуется,ТОО Integra X,Вакансия опубликована 16 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа с оргтехникой;MS Internet Explorer;Офисная техника;Казахский — A2 — Элементарный;,https://almaty.hh.kz/vacancy/80497100
Специалист отдела мониторинга ЦОД,116,з/п не указана,не требуется,ТОО Logitex,Вакансия опубликована 24 мая 2023 в Астане,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80925910
Раннер-кондитер,94,от 145 000 KZT на руки,не требуется,ТОО Dostar coffee,Вакансия опубликована 29 апреля 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Контроль сроков годности;Internet;Умение работать в команде;,https://almaty.hh.kz/vacancy/77482531
Переводчик с английского на казахский язык в г. Астана,93,з/п не указана,не требуется,"Манкент, Переводческое агентство",Вакансия опубликована 3 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Английский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80023344
Communications Assistant Intern,40,з/п не указана,не требуется,ТОО Alstom,Вакансия опубликована 22 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/80789457
Уборщица/Уборщик,40,от 150 000 KZT до вычета налогов,не требуется,ТОО Тайбурыл-Астана,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), проспект Кабанбай Батыра, 11",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80872562
Монтажник выставочных стендов,78,от 250 000 до 300 000 KZT на руки,не требуется,ТОО BMCA SERVICES,Вакансия опубликована 25 мая 2023 в Астане,"Астана, проспект Мангилик Ел, 53/1",полный день,"Полная занятость, полный день",Чтение чертежей;Работа с чертежами;Умение читать чертежи;Мотивированность на результат обучения;Работа в команде;Творческое мышление;Работа в коллективе;Точность и внимательность;Усердность;Бесконфликтность;Сосредоточенность;Высокая энергичность;,https://almaty.hh.kz/vacancy/80829613
Архитектор,14,от 200 000 до 500 000 KZT до вычета налогов,не требуется,ТОО SND Engineering,Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Кенесары, 28",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81070236
Менеджер отдела контроля качества,44,от 200 000 до 200 000 KZT на руки,не требуется,ТОО Агентство путешествий Ht.kz,Вакансия опубликована 12 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80351979
Оператор производственной линии (Астана),85,от 250 000 до 300 000 KZT на руки,не требуется,ТОО АМК-Метиз,Вакансия опубликована 11 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",умение работать в коллективе;,https://almaty.hh.kz/vacancy/80302696
Менеджер Отдела кредитования-2 Департамента кредитования,7,з/п не указана,не требуется,АО Аграрная кредитная корпорация,Вакансия опубликована 22 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80832205
Специалист по работе с документами (экспертно-правовой отдел),40,от 332 000 KZT на руки,не требуется,ТОО Правовые Партнеры,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80080449
Повар заготовки цеха,94,от 250 000 до 300 000 KZT до вычета налогов,не требуется,ТОО Ezy Park,Вакансия опубликована 15 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80429654
Стажер в Zakupki.kz,40,от 101 000 до 101 000 KZT на руки,не требуется,ТОО ZAKUPKI.KZ,Вакансия опубликована 28 мая 2023 в Астане,"Астана, проспект Мангилик Ел, 20",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79398137
Помощник бухгалтера,40,до 200 000 KZT на руки,не требуется,Рекрутер,Вакансия опубликована 26 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80616254
