Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Бухгалтер-стажер,18,з/п не указана,не требуется,ТОО Ханса Центральная Азия,Вакансия опубликована 2 мая 2023 в Алматы,"Алматы, улица Абиша Кекилбайулы, 34",полный день,"Стажировка, полный день",Excel;Английский язык;Собранность;Опытный пользователь ПК;Знание программ MS Office;Работа в команде;Работа с большим объемом информации;Желание обучаться;Желание учиться и развиваться;,https://almaty.hh.kz/vacancy/79991109
Менеджер по продажам услуг,72,от 150 000 KZT на руки,не требуется,ТОО Тесла сервис,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, улица Желтоксан, 87",полный день,"Полная занятость, полный день",Ведение переписки на иностранном языке;Пользователь ПК;Английский язык;Работа в команде;Деловая переписка;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80514342
Санитар,64,от 90 000 KZT на руки,не требуется,ООО Rehab.kz,Вакансия опубликована 1 мая 2023 в Алматы,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/79949401
Специалист по взысканию задолженности,147,от 120 000 KZT до вычета налогов,не требуется,ТОО Досудебное коллекторское агентство,Вакансия опубликована 4 мая 2023 в Алматы,"Алматы, Райымбек батыра, улица Серикова, 6",полный день,"Полная занятость, полный день",Ответственность;Коммуникабельность;дисциплинированность;работа с ПК;,https://almaty.hh.kz/vacancy/80103022
Менеджер по туризму,72,от 103 500 KZT до вычета налогов,не требуется,ТОО PalaMara,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, улица Шолохова, 18",полный день,"Полная занятость, полный день",Работа с оргтехникой;Грамотная речь;Умение легко находить контакт с людьми;Умение работать в условиях многозадачности;Казахский — A2 — Элементарный;,https://almaty.hh.kz/vacancy/80975783
Специалист,147,от 100 000 до 400 000 KZT на руки,не требуется,ТОО Коллекторское агентство Kaz Collect,Вакансия опубликована 28 апреля 2023 в Алматы,"Алматы, улица Толе Би, 155А",гибкий график,"Частичная занятость, гибкий график","Консультирование клиентов по телефону;работа с физическими лицами;Быстро учусь;Office;Ответственность и пунктуальность;Желание учиться и развиваться;Грамотная речь;исходящие звонки;Умение работать с большим количеством информации;Пользователь ПК;Работа в команде;Умение работать в команде;Телефонные переговоры;Проведение опросов клиентов;проведение опросов общественного мнения;Работа в условиях многозадачности;Умение работать с клиентами;грамотная устная речь, хорошо поставленный голос, необходимая дикция;Умение работать в условиях многозадачности;Владение MS Office;Умение вести переписку;Умение добиваться поставленных целей;Умение быстро усваивать новую информацию;Умение изучать;Коммуникабельность, ответственность;Претензионная работа с клиентами;Коммуникабельность, стрессоустойчивость;Коммуникабельность;",https://almaty.hh.kz/vacancy/79917975
Специалист по работе с просроченной задолженностью (SOFT-collection),120,от 260 000 до 600 000 KZT на руки,не требуется,ТОО iFinance,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, Алмалы, улица Жамбыла, 77",полный день,"Полная занятость, полный день",Телефонные переговоры;Грамотная речь;Пользователь ПК;Деловая коммуникация;Работа с претензиями;Умение работать в коллективе;Навыки работы с возражениями;Работа с людьми;Консультирование клиентов;,https://almaty.hh.kz/vacancy/80431825
Оператор,84,от 150 000 до 200 000 KZT до вычета налогов,не требуется,ТОО Max NRG,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Шевченко, 88",полный день,"Полная занятость, полный день",входящая документация;Работа в команде;Грамотная речь;Пользователь ПК;Бумажный документооборот;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80806191
Специалист технической поддержки,121,от 100 000 до 120 000 KZT на руки,не требуется,ТОО iSME,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, улица Тимирязева, 15Б",полный день,"Полная занятость, полный день",Настройка ПК;Настройка сетевых подключений;Настройка ПО;Сборка ПК;Настройка ПК Техническое обслуживание Настройка ПО;windows;,https://almaty.hh.kz/vacancy/80880439
Помощник бухгалтера,18,от 100 000 до 150 000 KZT на руки,не требуется,ИП Accounting Services,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, Байконур, улица Мауленова, 85",полный день,"Полная занятость, полный день",1С: Бухгалтерия;Excel;Грамотная речь;Грамотная письменная речь;исполнение поручений руководителя;Исполнение личных поручений руководителя;Первичная документация;Документооборот;Ведение документации;Работа в условиях многозадачности;Внутренняя документация;Русский — C2 — В совершенстве;Казахский — B1 — Средний;,https://almaty.hh.kz/vacancy/80859268
