Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Медицинская сестра / медицинский брат,64,от 220 000 до 270 000 KZT до вычета налогов,ТОО Optikon-KRG,Вакансия опубликована 2 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 96/3",сменный график,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Навыки межличностного общения;,https://almaty.hh.kz/vacancy/79983001,,Медицина
Специалист по туризму (удаленно),121,от 400 до 800 USD до вычета налогов,KIVORK,Вакансия опубликована 18 мая 2023 в Караганде,Алматы,удаленная работа,Полная занятость,Английский язык;Работа в команде;Обучение и развитие;Информационные технологии;информатика;математика;Аналитическое мышление;Системное мышление;технические задачи;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80506030,,
Лаборант химического анализа,79,от 180 000 KZT на руки,ТОО ALS Казгеохимия,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,сменный график,Полная занятость,Пользователь ПК;Английский язык;Сборка ПК;Аналитическое мышление;Электронная почта;,https://almaty.hh.kz/vacancy/80420161,,Наука
Администратор интернет-кафе,8,от 110 000 до 150 000 KZT на руки,Филиал League of Gentlemen в г. Караганда,Вакансия опубликована 27 мая 2023 в Караганде,"Караганда, улица Лободы, 29",полный день,Полная занятость,Управление персоналом;Пользователь ПК;Административное управление;Администрирование;Способность быстро обучаться;Администратор;Работа с ПК;Работа в команде;Работа с персоналом;,https://almaty.hh.kz/vacancy/80582355,,
Помощник повара,94,от 150 000 до 200 000 KZT до вычета налогов,ИП Ресторан Мой Тбилиси (ИП Бурбуташвили Н.Н.),Вакансия опубликована 16 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80516091,,
Регистратор - кассир,8,от 150 000 до 170 000 KZT на руки,ТОО Orhun Medical,Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, микрорайон Степной-4, 2/3",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/76575849,,
Специалист консультант в Банк,8,от 130 000 до 130 000 KZT до вычета налогов,АО «Bank Freedom Finance Kazakhstan»,Вакансия опубликована 29 мая 2023 в Караганде,"Караганда, проспект Нуркена Абдирова, 12",полный день,Полная занятость,Грамотная речь;Пользователь ПК;Работа в команде;Деловое общение;Умение работать в команде;,https://almaty.hh.kz/vacancy/81245683,,
Ученик сборщика/сборщик корпусной мебели,40,от 150 000 до 450 000 KZT до вычета налогов,ТОО Mauer,Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, улица Григория Потанина 24/1, Караганда 100000",полный день,Стажировка,Работа в команде;Работа с инструментом;,https://almaty.hh.kz/vacancy/80783758,,
"Торговый представитель (Ariel, Fairy, Gillette, Pampers, Head & Shoulders)",129,до 433 000 KZT до вычета налогов,ТОО Apple City Corps,Вакансия опубликована 27 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Навыки продаж;Управление временем;Навыки делового общения;,https://almaty.hh.kz/vacancy/78599895,,
Мерчендайзер,77,от 190 000 KZT на руки,ТОО Фудгарант,Вакансия опубликована 12 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Выкладка товаров;Желание работать и зарабатывать;,https://almaty.hh.kz/vacancy/80332610,,
