Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 23 мая 2023 в Уральске,Алматы,гибкий график,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/77710990,,
Техничка/уборщик,40,от 140 000 KZT до вычета налогов,ИП Павлова С.В.,Вакансия опубликована 23 мая 2023 в Уральске,"Уральск, проспект Абая, 61/1",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80897150,,
Помощник архивариуса,145,от 100 000 до 150 000 KZT до вычета налогов,ТОО Микрокредитная организация Мегакредит,Вакансия опубликована 2 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79971990,,
Администратор торгового зала,8,от 140 000 KZT на руки,ТОО Урал-Кров-Авто Плюс,Вакансия опубликована 15 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Грамотная речь;Работа в команде;CRM;Клиентоориентированность;Грамотность;Активные продажи;Навыки продаж;Деловая коммуникация;Мобильность;Продажи физическим лицам;Ведение клиентской базы;Развитие продаж;Обучение и развитие;Демонстрация автомобилей;Организаторские навыки;,https://almaty.hh.kz/vacancy/80415329,,
Фасовщик,40,от 62 000 до 186 120 руб. на руки,АКМЭ сервис,Вакансия опубликована 14 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79844664,,
Юрисконсульт,145,з/п не указана,АО Bereke Bank,Вакансия опубликована 16 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80474616,,
Бухгалтер в офис,18,от 150 000 до 150 000 KZT на руки,"ТОО Дельта Капитал, ТОО",Вакансия опубликована 4 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79860604,,Финансы
Менеджер по подбору персонала,118,от 20 000 до 30 000 руб. на руки,ООО Евразия Консалтинг,Вакансия опубликована 27 мая 2023 в Уральске,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80453965,,Менеджмент
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Уральске,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79890404,,
Мерчендайзер-грузчик,77,от 160 000 до 175 000 KZT до вычета налогов,ТОО Бэст Прайс Казахстан,Вакансия опубликована 29 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Мерчандайзинг;Выкладка товаров;Умение работать в команде;Контроль сроков годности;Линейная выкладка товара;,https://almaty.hh.kz/vacancy/80590955,,
Специалист по организации мероприятий,1,з/п не указана,"ТОО “QSR” ,ТМ BURGER KING",Вакансия опубликована 29 мая 2023 в Уральске,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/78583653,,Менеджмент
Кухонный работник (посудница-посудник),40,от 110 000 до 130 000 KZT до вычета налогов,"Сеть супермаркетов Суровский, ИП Едаменко Андрей Александрович",Вакансия опубликована 18 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Работа в команде;Умение работать в команде;Работа с людьми;,https://almaty.hh.kz/vacancy/80624988,,
Специалист по подбору персонала (Рекрутер),40,з/п не указана,ТОО FSSA,Вакансия опубликована 13 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Пользователь ПК;Грамотная речь;Работа в команде;Грамотность;Recruitment;проведение интервью;Проведение телефонных интервью;Подбор персонала;Поиск персонала в открытых источниках;Умение расставлять приоритеты;,https://almaty.hh.kz/vacancy/80385788,,
Специалист-оценщик в ломбард,40,от 160 000 до 160 000 KZT до вычета налогов,ТОО М-Ломбард,Вакансия опубликована 26 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Работа в команде;Грамотная речь;Обучение персонала;Ориентация на результат;Умение работать в команде;Клиентоориентированность;Пользователь ПК;,https://almaty.hh.kz/vacancy/79453916,,
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,Skyeng,Вакансия опубликована 10 мая 2023 в Уральске,Алматы,удаленная работа,Частичная занятость,Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255604,,IT
Машинист автогрейдера,63,з/п не указана,ТОО UNISERV,Вакансия опубликована 16 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79510035,,
Тайный покупатель,40,з/п не указана,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Уральске,Алматы,полный день,Проектная работа/разовое задание,Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239875,,
Заведующий складом на комплектующие,18,от 140 000 KZT до вычета налогов,ТОО A.Priori,Вакансия опубликована 12 мая 2023 в Уральске,"Уральск, Полевая улица, 5",полный день,Полная занятость,Пользователь ПК;Складской Учет;Ответственное хранение;Документальное сопровождение;Проведение инвентаризаций;Ведение документации;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80332154,,Финансы
Оператор АСУ по производству Профнастила и Металлочерепицы,85,от 150 000 KZT на руки,ТОО Уральская торгово-промышленная компания,Вакансия опубликована 11 мая 2023 в Уральске,"Уральск, улица Штыбы, 68",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80282389,,Сервисное обслуживание/производство
Торговый представитель (Дистрибьюция стройматериалов),129,з/п не указана,ТОО Строй Сервис Плюс,Вакансия опубликована 18 мая 2023 в Уральске,"Уральск, улица Чапаева, 20",полный день,Полная занятость,Навыки продаж;Прямые продажи;Поиск и привлечение клиентов;Развитие продаж;,https://almaty.hh.kz/vacancy/79779033,,
Электрогазосварщик,109,от 88 000 до 114 000 руб. на руки,ЗАО ЭнергоСтрой,Вакансия опубликована 28 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Сварочные работы;Производство строительно-монтажных работ;Монтаж металлоконструкций;Слесарные работы;Строительство;,https://almaty.hh.kz/vacancy/78247882,,Сервисное обслуживание/производство
Оператор цеха розлива,85,до 150 000 KZT на руки,ТОО Нуржанар,Вакансия опубликована 10 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80245756,,Сервисное обслуживание/производство
Оператор станка доборных элементов,85,от 130 000 KZT на руки,ТОО Уральская торгово-промышленная компания,Вакансия опубликована 11 мая 2023 в Уральске,"Уральск, улица Штыбы, 68",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80282329,,Сервисное обслуживание/производство
Технолог на рыбное производство,49,з/п не указана,Филиал ТОО Бонус Корпорэйшн в г. Нур-Султан,Вакансия опубликована 22 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80105930,,Сервисное обслуживание/производство
Врач-стоматолог,40,от 300 000 KZT на руки,ИП Alshin Dent,Вакансия опубликована 29 мая 2023 в Уральске,Алматы,гибкий график,Полная занятость,Пользователь ПК;Работа в команде;Умение работать в команде;Ведение документации;Работа с оргтехникой;,https://almaty.hh.kz/vacancy/79972227,,
Упаковщица/упаковщик в цех бумажных стаканов,40,от 140 000 до 170 000 KZT на руки,ТОО Полиграфсервис,Вакансия опубликована 10 мая 2023 в Уральске,"Уральск, улица Льва Толстого, 27/6",полный день,Полная занятость,Работа в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/80217015,,
Помощник менеджера по рекламе,2,от 200 000 до 300 000 KZT на руки,ТОО ПиКО,Вакансия опубликована 22 мая 2023 в Уральске,"Уральск, улица Дины Нурпеисовой, 40",полный день,Полная занятость,Способность обучать других;Грамотная речь;Работа в команде;Торговля;Проведение опросов клиентов;Работа в условиях многозадачности;Лояльность;Грамотность;Коммуникабельность;Желание работать и зарабатывать;Стремление к профессиональному росту;Стрессоустойчивость;Поиск и привлечение клиентов;Умение работать в условиях многозадачности;Умение разрешать конфликты;Готовность к командному труду;Энтузиазм;Умение эффективно планировать свое время;Заинтересованность;Четкая дикция;,https://almaty.hh.kz/vacancy/80822727,,Менеджмент
СММ-менеджер по ведению инстаграм-страниц,3,от 100 000 KZT на руки,ИП МАРТИНКУТЕ А. С,Вакансия опубликована 4 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Пользователь ПК;Ведение книги продаж;Инстаграм;Умение находить общий язык;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80124751,,Менеджмент
Педагог в летний лагерь на летний период,132,от 120 000 до 130 000 KZT до вычета налогов,ИП Валиев (Бэби-клуб),Вакансия опубликована 23 мая 2023 в Уральске,"Уральск, улица Герольда Бельгера, 105В",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80890790,,
Мастер Лазерной эпиляции,56,от 150 000 до 300 000 KZT на руки,ТОО Neo Beauty,Вакансия опубликована 27 мая 2023 в Уральске,"Уральск, улица Карашыганак, 4А",сменный график,Полная занятость,Работа в команде;Грамотная речь;Ведение отчетности;Ответственность и пунктуальность;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/81142889,,Медицина
Торговый представитель,129,от 222 000 до 370 000 KZT до вычета налогов,ТОО Фирма Арасан,Вакансия опубликована 23 мая 2023 в Уральске,Уральск,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80888895,,
Менеджер проектов,107,от 400 000 до 500 000 KZT до вычета налогов,ТОО NS Metmash,Вакансия опубликована 22 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Работа в условиях многозадачности;Знание английского языка;Ведение деловой переписки;,https://almaty.hh.kz/vacancy/80792165,,IT
Специалист по работе с детьми,40,от 120 000 KZT на руки,Бэби-клуб в 6 микрорайоне,Вакансия опубликована 19 мая 2023 в Уральске,"Уральск, 4-й микрорайон, 16",полный день,Частичная занятость,Грамотная речь;Проведение презентаций;MS PowerPoint;Работа в команде;,https://almaty.hh.kz/vacancy/80726720,,
Менеджер по подбору специалистов,121,от 200 000 до 280 000 KZT до вычета налогов,ТОО WOWWORKS KZ (ВАУВОРКС КЗ),Вакансия опубликована 23 мая 2023 в Уральске,Алматы,полный день,Полная занятость,многозадачность;Умение общаться с людьми;Грамотная речь;,https://almaty.hh.kz/vacancy/80906572,,
Пиццемейкер,94,от 100 000 до 160 000 KZT до вычета налогов,ТОО Nexxio Group,Вакансия опубликована 29 мая 2023 в Уральске,"Уральск, проспект Абая, 190",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81240782,,
Санитарка / Санитар медицинского кабинета,40,от 90 000 до 100 000 KZT на руки,ИП Вольнова Г.З.,Вакансия опубликована 24 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80931265,,
Помощник частного судебного исполнителя,145,от 60 000 до 120 000 KZT на руки,Байтемиров Мирас Саматович,Вакансия опубликована 1 мая 2023 в Уральске,"Уральск, проспект Нурсултана Назарбаева, 215",полный день,Полная занятость,Работа в команде;Грамотная речь;Работа с оргтехникой;Умение работать в команде;,https://almaty.hh.kz/vacancy/79953665,,
Оператор на станки линии изготовления стеклопакетов,40,от 150 000 до 200 000 KZT до вычета налогов,ИП Рубцов Аркадий Анатольевич,Вакансия опубликована 23 мая 2023 в Уральске,"Уральск, проспект Абулхаир Хана, 6/4А",полный день,Полная занятость,Пользователь ПК;Управление производством;1С: Производство;Общественное питание;Автоматизированное рабочее место (АРМ);,https://almaty.hh.kz/vacancy/80856364,,
Специалист по сопровождению программного обеспечения,18,от 150 000 до 350 000 KZT до вычета налогов,ТОО Азия Сервис-Уральск,Вакансия опубликована 17 мая 2023 в Уральске,"Уральск, улица Жукова, 4",полный день,Полная занятость,Пользователь ПК;Умение работать с клиентами;Работа в условиях многозадачности;Критически мыслить;Навыки улаживания конфликтов;Консультирование клиентов;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80558982,,Финансы
Помощник архивариуса,33,от 100 000 до 150 000 KZT до вычета налогов,ТОО МФО Touchzaim,Вакансия опубликована 17 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80567019,,Юриспруденция
Бухгалтер,18,от 80 000 KZT до вычета налогов,ТОО АНШЛАГ,Вакансия опубликована 30 апреля 2023 в Уральске,Алматы,полный день,Полная занятость,Стремление к профессиональному росту;1 С: Предприятие;Способность работать с документами;Умею начинать дела и доводить их до успешного завершения.;,https://almaty.hh.kz/vacancy/79946802,,Финансы
"Врач-стоматолог (терапия, хирургия)",24,от 200 000 до 350 000 KZT до вычета налогов,ТОО ОБЛАСТНАЯ ДЕТСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА,Вакансия опубликована 2 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79974597,,Медицина
Оператор на АГЗС (автогазозаправка),85,от 66 000 до 66 000 KZT на руки,ТОО BKKS LPG,Вакансия опубликована 10 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80251896,,Сервисное обслуживание/производство
Пекарь-кондитер,94,от 100 000 до 120 000 KZT до вычета налогов,ИП Джубандыкова М.К.,Вакансия опубликована 16 мая 2023 в Уральске,Уральск,полный день,Полная занятость,быстро обучаемость;Чистоплотность;Стрессоустойчивость;Работать на результат;Шустрая;Доброжелательная;Позитивная;Коммуникабельная;Умение работать в команде;Трудолюбия;,https://almaty.hh.kz/vacancy/80493876,,
Торговый представитель ВС,129,з/п не указана,ТОО West Team,Вакансия опубликована 2 мая 2023 в Уральске,Алматы,полный день,Полная занятость,Пользователь ПК;Заключение договоров;Ведение переговоров;Работа в команде;Поиск и привлечение клиентов;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80011088,,
Менеджер по тендерным процедурам,142,от 100 000 до 200 000 KZT до вычета налогов,ТОО ДельтаСервисГрупп,Вакансия опубликована 4 мая 2023 в Уральске,"Уральск, улица Шолохова, 27/1",полный день,Полная занятость,Грамотность;Желание учиться;Быстрое обучение;Тендеры;Поиск информации в интернет;Желание работать и развиваться;Мотивированность на результат обучения;,https://almaty.hh.kz/vacancy/80087567,,Финансы
Менеджер закупок IT-оборудования,66,з/п не указана,ТОО Фирма Сервер +,Вакансия опубликована 5 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80158038,,Менеджмент
Санитарка/Санитар,40,до 70 000 KZT на руки,ИП Salamdental,Вакансия опубликована 10 мая 2023 в Уральске,"Уральск, проспект Абулхаир Хана, 44",полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80230335,,
Ассистент/помощник колориста автоэмалей,5,от 80 000 KZT до вычета налогов,ИП Акутина Л.А.,Вакансия опубликована 4 мая 2023 в Уральске,"Уральск, проспект Абулхаир Хана, 95",полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Деловое общение;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80124926,,Сервисное обслуживание/производство
Врач-стоматолог,24,з/п не указана,ИП КДРАШЕВА АРДАК ЕРСАИНОВНА,Вакансия опубликована 1 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/77667273,,Медицина
Преподаватель иностранных языков,132,з/п не указана,ТОО Золотая черепаха,Вакансия опубликована 19 мая 2023 в Уральске,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80725909,,
Сборщик - Помощник продавца,40,от 100 000 до 150 000 KZT на руки,ИП Кондрашов В.В,Вакансия опубликована 22 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80801124,,
Администратор парка,40,от 120 000 до 150 000 KZT на руки,ТОО RIDES and GAMES,Вакансия опубликована 13 мая 2023 в Уральске,Алматы,сменный график,Полная занятость,Грамотность;Пользователь ПК;Умение работать в команде;Деловое общение;Организаторские навыки;Контроль исполнения решений;,https://almaty.hh.kz/vacancy/80381728,,
Офис-менеджер,40,от 120 000 до 150 000 KZT до вычета налогов,ТОО Оралсбытойл,Вакансия опубликована 16 мая 2023 в Уральске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80476296,,
Маркетолог,68,от 100 000 до 150 000 KZT до вычета налогов,ТОО Elosplus,Вакансия опубликована 10 мая 2023 в Уральске,"Уральск, улица Курмангазы, 168",полный день,Полная занятость,Грамотная речь;Продвижение в социальных сетях;Обработка видео;Написание рекламных статей;Обработка фото;Умение работать самостоятельно;,https://almaty.hh.kz/vacancy/80240498,,Менеджмент
Администратор,8,от 100 000 до 150 000 KZT на руки,ТОО SALAM DENTAL CLINIC,Вакансия опубликована 10 мая 2023 в Уральске,"Уральск, проспект Абулхаир Хана, 44",сменный график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80233694,,
