Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Администратор,140,от 250 000 до 350 000 KZT до вычета налогов,не требуется,ТОО HAIM GROUP (ХАЙМ ГРУПП),Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, Абая, микрорайон Кок-Тобе, улица Радлова, 68",сменный график,Полная занятость,Грамотность;Умение расставлять приоритеты;Умение работать с людьми;Навыки улаживания конфликтов;Не конфликтность;Высокая энергичность и инициативность;Умение адаптироваться;Опрятность;,https://almaty.hh.kz/vacancy/80433457,,
Администратор ресепшен,8,от 200 000 KZT на руки,не требуется,"ТОО Институт гастроэнтерологии,гепатологии и метаболизма",Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, улица Богенбай Батыра, 248",гибкий график,Полная занятость,Грамотная речь;Русский язык;Казахский язык;ПК;Прием посетителей;Коммуникабельность;презентабельный внешний вид;Работа в условиях многозадачности;Умение работать в команде;Грамотность;Поддержка работы офиса;Работа с компьютером;,https://almaty.hh.kz/vacancy/81225567,,
Фотограф/видеограф,20,от 175 000 до 225 000 KZT на руки,не требуется,"АО РТС Деко, АО",Вакансия опубликована 15 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Обработка видео;Репортажная фотосъемка;,https://almaty.hh.kz/vacancy/79960825,,Видео/фото
Логист (удаленно),67,от 80 000 KZT на руки,не требуется,ИП Health Food (Зоров В. Time Service),Вакансия опубликована 15 мая 2023 в Алматы,Алматы,удаленная работа,Частичная занятость,Пользователь ПК;Поиск информации в интернет;Грамотная речь;Internet;Google Chrome;Распределительная логистика;Логистика;Транспортная логистика;,https://almaty.hh.kz/vacancy/80427424,,
Системный администратор,113,от 350 000 до 400 000 KZT на руки,не требуется,ИП Енсебаев М.Ж.,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Знание компьютера;,https://almaty.hh.kz/vacancy/79433870,,IT
Хостес,140,от 150 000 до 220 000 KZT на руки,не требуется,ИП Сулейменова,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, микрорайон Кемел",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80868988,,
Аниматор на квест,13,от 120 000 до 150 000 KZT на руки,не требуется,ИП Арыстан,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, Алатау, Алмалы, Байконур, Театр имени Ауэзова, улица Шагабутдинова, 114",полный день,Полная занятость,Работа в команде;Деловая коммуникация;,https://almaty.hh.kz/vacancy/80175800,,Искусство
Помощник адвоката,146,до 300 000 KZT на руки,не требуется,ТОО Каймаков и Партнеры,Вакансия опубликована 24 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80989390,,
Администратор в музыкальную школу,8,от 150 000 до 150 000 KZT на руки,не требуется,ИП JK MUSIC SCHOOL,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Кабдолова, 22В",полный день,Полная занятость,Консультирование клиентов по телефону;Умение работать в команде;Консультирование;Работа с людьми;Консультирование клиентов;Уверенный пользователь ПК;Грамотная устная и письменная речь;Составление графиков работы;Любовь к детям;Русский язык;Казахский язык;Умение расставлять приоритеты;Работа в CRM системе;Работа с базами данных;,https://almaty.hh.kz/vacancy/80850225,,
Администратор,40,от 180 000 до 350 000 KZT на руки,не требуется,ИП Егоров Александр Николаевич,Вакансия опубликована 29 мая 2023 в Алматы,"городская гмина Познань, улица Радлова, 22",полный день,Полная занятость,Поиск информации в интернет;Телефонные переговоры;Активные продажи;Любовь к детями;,https://almaty.hh.kz/vacancy/80282585,,
Фасовщик,146,от 170 000 до 225 000 KZT на руки,не требуется,ТОО Тен и Ко (TM BASILIC),Вакансия опубликована 4 мая 2023 в Алматы,"Алматы, Райымбек батыра, проспект Суюнбая, 15",полный день,Полная занятость,Грамотная речь;Договорная работа;Ориентация на результат;Умение планировать;Юриспруденция;,https://almaty.hh.kz/vacancy/80099789,,
Промоутер (электросамокаты),40,от 180 000 до 350 000 KZT на руки,не требуется,ТОО Jet Sharing,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80850337,,
Оператор на производство,85,до 300 000 KZT на руки,не требуется,ТОО КазФерроСталь,Вакансия опубликована 12 мая 2023 в Алматы,"Алматы, Илийский тракт, 17",сменный график,Полная занятость,Стремление к профессиональному росту;,https://almaty.hh.kz/vacancy/80335512,,Сервисное обслуживание/производство
Менеджер по направлению маркетплейсы,68,от 300 000 до 500 000 KZT на руки,не требуется,ТОО Еком Маркетинг,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, Москва, улица Утеген Батыра, 7/2",полный день,Полная занятость,Adobe Photoshop;Figma;Маркетплейсы;Аналитическое мышление;Google таблицы;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80937970,,Менеджмент
Администратор в медицинский офис,8,от 150 000 KZT на руки,не требуется,ТОО INVITRO (ТОО ИНВИТРО-Казахстан),Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Работа в команде;Материальная ответственность;Работа с оргтехникой;Клиентоориентированность;Работа с кассой;Ведение отчетности;Работа с большим объемом информации;Грамотная речь;Документальное сопровождение;Деловое общение;Пользователь ПК;,https://almaty.hh.kz/vacancy/80997997,,
Семейная помощница / Семейный помощник,40,от 200 200 до 200 200 KZT до вычета налогов,не требуется,Частное образовательное Учреждение SOS Детская деревня Алматы,Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, улица Луганского, 95",полный день,Полная занятость,Навыки межличностного общения;Работа в команде;Психология Личности;,https://almaty.hh.kz/vacancy/77284730,,
Архивариус,33,от 180 000 до 180 000 KZT на руки,не требуется,ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ SOFI FINANCE (СОФИ ФИНАНС),Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, проспект Сакена Сейфуллина, 502",полный день,Полная занятость,Ведение архива;Электронный документооборот;Делопроизводство;Архивирование;Экспертиза ценности документов;Подготовка документации к архивированию;Работа с документами длительного хранения;Отчетность;,https://almaty.hh.kz/vacancy/80271397,,Юриспруденция
Хостес,140,от 150 000 до 200 000 KZT на руки,не требуется,ИП Ким А.В.,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, Алатау, Байконур, Театр имени Ауэзова, улица Ауэзова, 84",сменный график,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Деловое общение;Телефонные переговоры;,https://almaty.hh.kz/vacancy/80310889,,
Фармацевт-провизор,133,от 130 000 до 170 000 KZT на руки,не требуется,ТОО DOSFARM,Вакансия опубликована 25 мая 2023 в Алматы,"Алматы, 4-й микрорайон, 2Б",сменный график,Полная занятость,Деловое общение;Пользователь ПК;Грамотная речь;Деловая этика;,https://almaty.hh.kz/vacancy/81004841,,Медицина
TikTok менеджер начинающий,3,от 120 000 до 180 000 KZT до вычета налогов,не требуется,ТОО REDlab.kz,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,гибкий график,Частичная занятость,Наполнение контентом;SMM;Написание текстов;Креативность;Обработка видео;Поиск информации в интернет;Русский — A1 — Начальный;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80471538,,Менеджмент
Ассистент стоматолога хирурга,15,от 150 000 до 170 000 KZT до вычета налогов,не требуется,ТОО Лаборатория улыбок,Вакансия опубликована 28 мая 2023 в Алматы,"Алматы, проспект Абая, 51",полный день,Полная занятость,Работа в 4 руки;Работа в условиях многозадачности;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/81034436,,Медицина
2D-художник,34,з/п не указана,не требуется,Fntastic,Вакансия опубликована 28 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Adobe Photoshop;Разработка компьютерных Игр;Gamedev;Работа в условиях многозадачности;Игровой опыт;Художник;Концептирование;,https://almaty.hh.kz/vacancy/81000512,,Искусство
Авиаагент,40,от 207 000 до 207 000 KZT до вычета налогов,не требуется,ТОО Трансавиа,Вакансия опубликована 4 мая 2023 в Алматы,"Алматы, микрорайон Керемет, 5к17",гибкий график,Стажировка,Отличное знание ПК;Поставленная речь;Логическое мышление;Работа в команде;Умение работать с людьми;Телефонные переговоры;,https://almaty.hh.kz/vacancy/80119326,,
Стажер в отдел бухгалтерии и финансов,40,з/п не указана,не требуется,LC Waikiki,Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,Стажировка,E9,https://almaty.hh.kz/vacancy/80785360,,
Видеооператор/видеомонтажёр,20,от 350 000 до 600 000 KZT на руки,не требуется,ТОО BLVCKSQUAR,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, проспект Жибек Жолы, 135",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80808104,,Видео/фото
Affiliate manager,71,з/п не указана,не требуется,ООО Бизнес Енд Маркетинг Солюшинс,Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Английский язык;Работа в команде;Грамотная речь;Деловая коммуникация;Организаторские навыки;Ориентация на результат;Обучение и развитие;Многозадачность;Выездные мероприятия;Анализ рынка;Работа в режиме многозадачности;Деловое общение;Работа с большим объемом информации;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80244731,,Менеджмент
Администратор офиса,140,от 150 000 KZT на руки,не требуется,ИП Istudy,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, Бауыржан Момышулы, микрорайон Мамыр-1, 29/6",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80421424,,
Флорист-продавец,40,з/п не указана,не требуется,ИП Serpin,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, Абая, проспект Абая, 47",полный день,Полная занятость,Грамотная речь;Флористика;Креативность;Умение работать в команде;Работа в режиме многозадачности;Желание расти и развиваться;Чистоплотность;Казахский — C1 — Продвинутый;Русский — C1 — Продвинутый;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/79763678,,
Сестра-хозяйка/брат-хозяин (специалист по хозяйственному обеспечению),40,до 300 000 KZT на руки,не требуется,ТОО DOSFARM,Вакансия опубликована 12 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80331808,,
Кадровый менеджер,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 12 мая 2023 в Алматы,Алматы,удаленная работа,Частичная занятость,Подбор персонала;,https://almaty.hh.kz/vacancy/80338226,,Менеджмент
Ассистент учителя (Teaching Assistant),132,от 160 000 KZT на руки,не требуется,Казахстанская школа интеллекта,Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, проспект Аль-Фараби, 118/15",полный день,Полная занятость,умение организовывать работу и работать в команде;профессионализм;Английский язык;Любовь к детям;Преподаватель;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80626091,,
