Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Бухгалтер-кассир,18,от 250 000 KZT на руки,не требуется,ТОО HT.KZ Central,Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Инкассация;Кассовые операции;Работа с кассой;Работа в команде;1С: Предприятие 8;1С: Бухгалтерия;Касса;Интернет-банкинг;,https://almaty.hh.kz/vacancy/80823297,,Финансы
Младший юрисконсульт,145,з/п не указана,не требуется,ТОО MAGNUM. Юридическая служба и аудит/Заң қызметі және аудит,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, микрорайон Астана, 1/10",полный день,Полная занятость,Доверенности;Делопроизводство;Документооборот;Деловая переписка;Работа с документами;Внутренняя документация;Точность и внимательность к деталям;Грамотность;Высокая скорость печати;Казахский язык;Деловое общение;Заключение договоров;Телефонные переговоры;Деловая коммуникация;Работа с оргтехникой;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/81230625,,
Младший маркетолог,68,з/п не указана,не требуется,ТОО GLASMAN TRADE,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Многофункциональный комплекс;Работа с базами данных;Аналитическое мышление;Анализ данных;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/81208704,,Менеджмент
Повар-универсал/пиццайоло,94,от 215 000 до 370 000 KZT на руки,не требуется,ИП Ахунов Дмитрий Анатольевич,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,сменный график,Полная занятость,Работа в команде;Грамотная речь;Деловое общение;Общественное питание;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80658450,,
Дизайнер-визуализатор,34,з/п не указана,не требуется,ТОО RAMS QAZAQSTAN,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, улица Тимирязева, 37",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80407721,,Искусство
Младший аналитик,10,з/п не указана,не требуется,АО Home Credit Bank,Вакансия опубликована 17 мая 2023 в Алматы,"Алматы, ул. Фурманова (угол ул. Хаджимукана), 248, БЦ ""Сарканд""",полный день,Полная занятость,SQL;Обучение и развитие;Работа с большим объемом информации;MS SQL;Power BI;Базы данных;Математический анализ;Математическая статистика;Sas;Анализ данных;Уверенный пользователь MS Office;Хорошая обучаемость;Готовность обучаться;,https://almaty.hh.kz/vacancy/80582051,,IT
Пекарь в Кондитер цех,94,от 220 000 до 250 000 KZT на руки,не требуется,ТОО Счастье здесь,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, Алмалы, улица Богенбай батыра, 132",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80162024,,
Садовник,40,от 200 000 KZT на руки,не требуется,ТОО Мир Фантазий Алматы,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, проспект Абая, 50А",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80498573,,
SMM-специалист,3,от 150 000 до 200 000 KZT на руки,не требуется,ТОО KAZ TR,Вакансия опубликована 28 мая 2023 в Алматы,"Алматы, Наурызбайский район, микрорайон Калкаман-2, улица Нурпеисова, 269",полный день,Полная занятость,Креативность;Грамотная речь;Социальные сети;Наполнение контентом;Instagram;Креатив;Написание текстов;Ведение социальных сетей;Казахский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80512044,,Менеджмент
Technical specialist / IT cпециалист,121,от 200 000 до 400 000 KZT на руки,не требуется,ТОО Paloma365,Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, проспект Жибек Жолы, 188",сменный график,Полная занятость,Английский язык;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80630450,,
Хостес (проверка билетов),8,до 160 000 KZT на руки,не требуется,ТОО Парк Кок Тобе,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, проспект Достык, 104Б",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80208685,,
Ученик оператора в типографию,40,от 140 000 KZT до вычета налогов,не требуется,ТОО Алейрон,Вакансия опубликована 17 мая 2023 в Алматы,"город Алматы, улица Маркова, 69",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80549970,,
Инженер,100,от 250 000 KZT на руки,не требуется,ТОО АЛВИПИ ВР,Вакансия опубликована 17 мая 2023 в Алматы,Алматы,полный день,Полная занятость,AutoCAD;Работа в команде;Умение работать в коллективе;Грамотная речь;Умение работать в команде;Работа с проектной документацией;Казахский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80615846,,
Администратор в студии растяжки и балета LEVITA,8,от 40 000 руб. на руки,не требуется,ООО ГГ Плэй,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, проспект Гагарина, 311А",полный день,Полная занятость,Консультирование клиентов;Администрирование;Активная жизненная позиция;Пользователь ПК;Грамотная речь;Работа в команде;Навыки продаж;Деловое общение;Консультирование клиентов по телефону;Активные продажи;Умение работать в команде;Деловая переписка;Ведение переговоров;Клиентоориентированность;Телефонные переговоры;Работа с большим объемом информации;Организаторские навыки;Ведение отчетности;,https://almaty.hh.kz/vacancy/80484715,,
Контент-менеджер,3,от 144 000 до 230 000 KZT на руки,не требуется,АО ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Поиск информации в интернет;Работа с большим объемом информации;Грамотность;Google Docs;Microsoft Access;,https://almaty.hh.kz/vacancy/81036406,,Менеджмент
Специалист по работе с документами,40,от 220 000 KZT на руки,не требуется,ИП Scales ofJustice,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80495912,,
Менеджер по логистике,67,до 250 000 KZT на руки,не требуется,ТОО Progressive logistics,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Шевченко, 165Б",полный день,Полная занятость,"Знание офисных программ;Коммуникабельность, стрессоустойчивость;Пользователь ПК;Владение MS Office;",https://almaty.hh.kz/vacancy/80808163,,
