Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Фаршесоставитель,85,от 160 000 до 160 000 KZT на руки,ТОО Геба,Вакансия опубликована 10 мая 2023 в Актобе,"Актобе, проспект Санкибай Батыра, 22/1",полный день,Полная занятость,Знание мясного продукта;Фарш;,https://almaty.hh.kz/vacancy/80208154,,Сервисное обслуживание/производство
Главный бухгалтер,18,от 250 000 KZT на руки,ТОО Профтехнологии инжиниринг,Вакансия опубликована 17 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Бухгалтерский учет;Бухгалтерская отчетность;1С: Бухгалтерия;,https://almaty.hh.kz/vacancy/80614981,,Финансы
Менеджер контроля качества,44,до 150 000 KZT на руки,ТОО DENTAL CENTRE,Вакансия опубликована 16 мая 2023 в Актобе,"Актобе, улица Марата Оспанова, 67",полный день,Полная занятость,Работа с большим объемом информации;Знание офисных программ;Уверенный пользователь ПК;,https://almaty.hh.kz/vacancy/80478110,,Сервисное обслуживание/производство
Шиномонтажник,5,от 150 000 KZT до вычета налогов,ТОО Автоцентр Азия,Вакансия опубликована 16 мая 2023 в Актобе,"Актобе, квартал Северо-Западная Промзона",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80513036,,Сервисное обслуживание/производство
Монтажник систем вентиляции и кондиционирования,78,от 150 000 до 160 000 KZT на руки,ИП Записочная Ирина Владимировна,Вакансия опубликована 3 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;MS Paint;Работа в коллективе;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80024279,,
Администратор на дому,8,от 200 000 до 250 000 KZT на руки,ИП Ansar,Вакансия опубликована 22 мая 2023 в Актобе,Алматы,удаленная работа,Частичная занятость,Работа в команде;Организаторские навыки;исполнение поручений руководителя;,https://almaty.hh.kz/vacancy/80835526,,
Диджей,40,от 150 000 до 300 000 KZT до вычета налогов,ТОО Позитив холдинг,Вакансия опубликована 22 мая 2023 в Актобе,Алматы,сменный график,Полная занятость,Системы бронирования;MS Outlook;Деловое общение;Управление персоналом;,https://almaty.hh.kz/vacancy/80790970,,
Финансовый менеджер,137,от 100 000 до 100 000 KZT до вычета налогов,ИП Барон,Вакансия опубликована 1 мая 2023 в Актобе,Алматы,удаленная работа,Полная занятость,Анализ финансовых показателей;Формирование бюджета;Финансовая отчетность;Продвинутый пользователь ПК;Excel;1С: Бухгалтерия;Умение работать в коллективе;Анализ текущих финансовых показателей;Ведение отчетности;Финансовое планирование;,https://almaty.hh.kz/vacancy/79952981,,Финансы
Санитарка-санитар,64,от 70 000 до 100 000 KZT на руки,Гос. корп. ОБЛАСТНАЯ КЛИНИЧЕСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА НА ПХВ ГУ УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКТЮБИНСКОЙ ОБЛАСТИ,Вакансия опубликована 16 мая 2023 в Актобе,Алматы,сменный график,Полная занятость,Адаптация;Работа в команде;Работа с людьми;,https://almaty.hh.kz/vacancy/80482175,,Медицина
Инструктор лечебной физкультуры,138,з/п не указана,ТОО Актюбинский Центр Лечебной Физкультуры,Вакансия опубликована 12 мая 2023 в Актобе,"Актобе, улица М. Оспанова, 52/1",полный день,Полная занятость,Лечебная физкультура;Реабилитация;Умение работать в команде;Грамотная речь;Работа с людьми;,https://almaty.hh.kz/vacancy/80356347,,
Инструктор,65,от 100 000 до 300 000 KZT на руки,ИП Мухамбет,Вакансия опубликована 10 мая 2023 в Актобе,Алматы,полный день,Частичная занятость,Работа с клиентами;Консультирование клиентов;Грамотная речь;Работа с людьми;,https://almaty.hh.kz/vacancy/80218040,,Медицина
Оператор станка по производству бахил,85,от 100 000 до 200 000 KZT на руки,ИП АСПАН АЮ,Вакансия опубликована 3 мая 2023 в Актобе,"Алматы, Алатау, Москва, Сайран, улица Розыбакиева, 53А",полный день,Полная занятость,Контроль качества;Учет остатков;Производственный контроль;Непрерывное производство;планировать и оптимально организовать рабочий процесс;,https://almaty.hh.kz/vacancy/80064237,,Сервисное обслуживание/производство
