Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,не требуется,Skyeng,Вакансия опубликована 10 мая 2023 в Петропавловске,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255605
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Петропавловске,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/79890403
Мясник,40,з/п не указана,не требуется,ТОО MAGNUM. Защита активов и предотвращение потерь/Активтерді қорғау және шығындарды болдырмау,Вакансия опубликована 11 мая 2023 в Петропавловске,"Петропавловск, улица Валиханова, 56",полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Контроль качества;Ориентация на результат;Массовое производство;Дружелюбность;Чистоплотность;Сосредоточенность;Способность быстро обучаться;Домашняя кухня;Умение изучать;Умение управлять временем;,https://almaty.hh.kz/vacancy/80280372
Бухгалтер по расходам,18,от 220 000 до 300 000 KZT до вычета налогов,не требуется,ТОО Швейная фабрика Прогресс,Вакансия опубликована 27 мая 2023 в Петропавловске,"Петропавловск, Интернациональная улица, 2",полный день,"Полная занятость, полный день",1 С: Предприятие;Расстановка приоритетов;Кредиторская задолженность;Работа с большим объемом информации;Продуктивность;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/80018828
Электромонтер по эксплуатации распределительных сетей,144,з/п не указана,не требуется,АО Северо-Казахстанская Распределительная Электросетевая Компания,Вакансия опубликована 23 мая 2023 в Петропавловске,"Петропавловск, улица Аягана Шажимбаева, 144",полный день,"Полная занятость, полный день",Работа в команде;знание ПТБ и ПТЭ;,https://almaty.hh.kz/vacancy/80855649
Оператор заправочных станций,85,от 55 000 до 65 000 KZT до вычета налогов,не требуется,ТОО QazaqOil (PetroRetail),Вакансия опубликована 17 мая 2023 в Петропавловске,Алматы,сменный график,"Полная занятость, сменный график",Работа в команде;,https://almaty.hh.kz/vacancy/77067148
Шиномонтажник,40,з/п не указана,не требуется,ТОО ЭЙКОС,Вакансия опубликована 15 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/72442893
Инспектор по взысканию (Late Collection),120,з/п не указана,не требуется,ТОО Коллекторское агентство Национальная служба взыскания,Вакансия опубликована 23 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",Взыскание задолженности;Грамотная речь;Обучение и развитие;Работа с большим объемом информации;Грамотность;,https://almaty.hh.kz/vacancy/80860834
Машинист бульдозера,63,от 130 000 до 130 000 руб. на руки,не требуется,ООО Дорожно-строительный трест № 1,Вакансия опубликована 22 мая 2023 в Петропавловске,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/79700282
Тайный проверяющий,40,от 100 000 до 150 000 KZT до вычета налогов,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 21 мая 2023 в Петропавловске,Алматы,гибкий график,"Частичная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/80779344
Бухгалтер,18,от 225 000 KZT на руки,не требуется,ТОО Петропавл Экспресс Логистика,Вакансия опубликована 15 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",Грамотная устная и письменная речь;Excel;навыки ведения бухгалтерского и налогового учета;Первичная бухгалтерская документация;Бухгалтерский учет;Банк-клиент;Налоговая отчетность;,https://almaty.hh.kz/vacancy/80402653
Администратор,8,от 150 000 до 200 000 KZT на руки,не требуется,ТОО ИмплантСтом,Вакансия опубликована 19 мая 2023 в Петропавловске,"Петропавловск, улица Габита Мусрепова, 9В",полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80685057
Помощник воспитателя,40,от 92 000 до 104 000 KZT до вычета налогов,не требуется,ТОО Ашық Аспан-2,Вакансия опубликована 22 мая 2023 в Петропавловске,"Петропавловск, улица Нурсултана Назарбаева, 221",полный день,"Полная занятость, полный день",Умение работать с детьми;Терпеливость;Чистоплотность;,https://almaty.hh.kz/vacancy/80795749
Контролер Службы безопасности,40,з/п не указана,не требуется,ТОО Машиностроительный завод Казтехмаш,Вакансия опубликована 25 мая 2023 в Петропавловске,"Петропавловск, Парковая улица, 57А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81034490
