Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Тайный покупатель,40,з/п не указана,не требуется,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Атырау,Алматы,полный день,"Проектная работа/разовое задание, полный день",Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239868
Промоутер-консультант/Хостес (табачный бренд),140,от 144 000 до 200 000 KZT на руки,не требуется,ТОО CONTINEO,Вакансия опубликована 28 мая 2023 в Атырау,Алматы,полный день,"Частичная занятость, полный день",Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/80683988
Водитель с Личным грузовым автомобилем / Специалист по торговому оборудованию,162,от 250 000 KZT на руки,не требуется,ТОО CONTINEO,Вакансия опубликована 26 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Ремонтные работы;Электротехнические работы;Электрика;Умение управлять временем;Готовность к командировкам;Монтаж оборудования;Техническое обслуживание;Водительское удостоверение категории BC;Выездное обслуживание;Личный автомобиль;Работа в условиях многозадачности;Наличие автомобиля;Умение работать в условиях многозадачности;Технический склад ума;Умение добиваться поставленных целей;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80891614
Электрогазосварщик,109,от 80 000 руб. на руки,не требуется,ЗАО ЭнергоСтрой,Вакансия опубликована 23 мая 2023 в Атырау,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",Сварочные работы;Способность приспосабливаться к условиям;Электроэнергетика;,https://almaty.hh.kz/vacancy/78247811
Медицинский представитель,65,з/п не указана,не требуется,Solgar,Вакансия опубликована 27 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Водительское удостоверение категории B;Работа в команде;Организаторские навыки;Ориентация на результат;Обучение и развитие;,https://almaty.hh.kz/vacancy/80409419
Специалист по ипотечному кредитованию,57,от 180 000 KZT на руки,не требуется,ИП ЭТАЖИ ИП Привальцев А.А.,Вакансия опубликована 28 мая 2023 в Атырау,"Атырау, улица Академика Бинеша Жарбосынова, 89А",полный день,"Полная занятость, полный день",Работа в команде;Клиентоориентированность;Консультирование клиентов;Работа с клиентами;Уверенный пользователь ПК;Ипотечные кредиты;Опытный пользователь ПК;,https://almaty.hh.kz/vacancy/80470577
Intern/Consultant - Fraud Investigation Group (Forensic) - Financial Advisory Department,16,з/п не указана,не требуется,"Deloitte, Caspian Region",Вакансия опубликована 15 мая 2023 в Атырау,Алматы,полный день,"Стажировка, полный день",Английский язык;MS PowerPoint;Forensic;,https://almaty.hh.kz/vacancy/80411015
Оценщик в ломбард,57,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Астра-Лoмбард,Вакансия опубликована 5 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день","Терпеливость;Работа с компьютером;Знание компьютера;Серьезность;Внимательность, ответственность;Грамотная речь;Коммуникабельность, ответственность;Пользователь ПК;",https://almaty.hh.kz/vacancy/80158670
Торговый представитель,129,з/п не указана,не требуется,ТОО WEST BEER (ВЕСТ БИР),Вакансия опубликована 26 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Заключение договоров;Мониторинг цен;Ведение клиентской базы;Умение планировать;Опыт продаж;Умение вести переговоры;Работа с клиентской базой;Традиционная розница;Мерчендайзинг;,https://almaty.hh.kz/vacancy/79938410
Оператор call-центра/специалист отдела по работе с клиентами,39,от 130 000 до 230 000 KZT на руки,не требуется,ИП Поликанов Р.Е.,Вакансия опубликована 26 мая 2023 в Атырау,"Атырау, проспект Исатая Тайманова, 108",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80393164
