Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Торговый представитель,129,от 300 000 KZT на руки,не требуется,ООО Восхождение,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80867583
Администратор торгового зала,84,от 150 000 до 150 000 KZT на руки,не требуется,ТОО Кристалл Авто,Вакансия опубликована 24 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Деловая этика;Грамотная речь;Оценка потребностей клиентов;Пользователь ПК;Демонстрация автомобилей;Деловое общение;Прием и распределение телефонных звонков;Ведение отчетности;Клиентоориентированность;Работа с клиентами;,https://almaty.hh.kz/vacancy/80787362
Сотрудник внутреннего контроля,120,от 220 000 KZT до вычета налогов,не требуется,ТОО Азия Креатив,Вакансия опубликована 8 мая 2023 в Караганде,"Караганда, проспект Строителей, 37/2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/70954785
Бухгалтер-оператор,18,от 194 000 KZT на руки,не требуется,ТОО Flip.kz,Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, улица Гапеева, 9/2",полный день,"Полная занятость, полный день",Работа с поставщиками;Работа с ТМЦ;Умение работать с большим объемом информации;оформление документации;Работа с документами;Уверенный пользователь ПК;Знание 1С;Excel;,https://almaty.hh.kz/vacancy/79100067
Мерчендайзер,77,от 190 000 KZT на руки,не требуется,ТОО Фудгарант,Вакансия опубликована 12 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Выкладка товаров;Желание работать и зарабатывать;,https://almaty.hh.kz/vacancy/80332610
Инженер-сметчик,47,от 135 000 до 150 000 KZT до вычета налогов,не требуется,ИП GSD,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81021696
Бухгалтер-оператор,18,от 170 000 KZT на руки,не требуется,ТОО Фудгарант,Вакансия опубликована 13 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80382899
Ассистент аналитика,54,до 180 000 KZT до вычета налогов,не требуется,ТОО ПАКТ,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Работа в команде;MS Internet Explorer;оформление заказов;Составление отчетности;Внутренняя документация;MS Office;Пользователь ПК;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/79953355
Специалист по подбору персонала,118,от 180 000 до 200 000 KZT на руки,не требуется,ТОО Алып-2008,Вакансия опубликована 23 мая 2023 в Караганде,"Караганда, микрорайон Степной-3, 3Б",полный день,"Полная занятость, полный день",Грамотная речь;Подбор персонала;Поиск информации в интернет;Телефонные переговоры;оформление документации;Навыки телефонных продаж;Поиск персонала в открытых источниках;Проведение собеседований;Подбор сотрудников;Составление предложений о работе;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/79382506
Сервисный инженер по ремонту пк и оргтехники,114,от 180 000 до 250 000 KZT на руки,не требуется,ТОО Монтеко,Вакансия опубликована 17 мая 2023 в Караганде,"Караганда, улица Гоголя, 32",полный день,"Полная занятость, полный день",Ремонт ПК;Работа с оргтехникой;Администрирование;Умение принимать решения;Техническое обслуживание;Настройка ПК;Сборка ПК;Установка ПО;Работа с компьютером;,https://almaty.hh.kz/vacancy/80572245
Менеджер по набору и выводу персонала,40,от 100 000 до 500 000 KZT до вычета налогов,не требуется,ИП OUTSTAFF,Вакансия опубликована 11 мая 2023 в Караганде,"Караганда, Штурманская улица, 1/9",полный день,"Полная занятость, полный день","ТОО ""OUTSTAFF"";Пользователь ПК;Ведение отчетности;Грамотная речь;Работа в команде;Организаторские навыки;Деловое общение;Управление персоналом;Заключение договоров;Ведение переговоров;Деловая переписка;Телефонные переговоры;Работа с большим объемом информации;Работа в условиях многозадачности;Организация и планирование рабочего времени;Способность работать с документами;Работа с компьютером;Честный;Правильно расставлять приоритеты;Серьезность;Высокая энергичность;Передача документации на исполнение;",https://almaty.hh.kz/vacancy/80269938
Оператор-дозатор сыпучих продуктов питания,40,от 180 000 до 190 000 KZT до вычета налогов,не требуется,ТОО Людмила-KZ TM Аян,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80855814
Диспетчер-оператор,39,от 150 000 KZT на руки,не требуется,ТОО Honmil Group,Вакансия опубликована 3 мая 2023 в Караганде,"Караганда, 018-й учетный квартал, 252",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80022015
Мастер стажер,100,от 192 500 KZT на руки,не требуется,ТОО Фирма Жилой фонд,Вакансия опубликована 16 мая 2023 в Караганде,"Karagandy, Nursultan Nazarbaev Avenue, 20",полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/80472031
Разнорабочий/Стропальщик (Юго-Восток),40,от 220 000 до 300 000 KZT на руки,не требуется,ТОО Фирма Жилой фонд,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Стропальщик;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80855854
Санитарка (Санитар) / Уборщик помещений,40,от 100 000 KZT на руки,не требуется,ТОО Клинико-диагностический реабилитационный центр SANAD,Вакансия опубликована 28 мая 2023 в Караганде,"Караганда, улица Кривогуза, 41",полный день,"Полная занятость, полный день",Пользователь ПК;Умение работать в команде;Электронная почта;Turbo Pascal;Работа с людьми;,https://almaty.hh.kz/vacancy/80993986
Промоутер-консультант/Хостес (табачный бренд),140,от 160 000 до 200 000 KZT до вычета налогов,не требуется,ТОО CONTINEO,Вакансия опубликована 28 мая 2023 в Караганде,Алматы,полный день,"Частичная занятость, полный день",Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/80090411
Специалист лазерной эпиляции / Косметолог,40,от 60 000 руб. на руки,не требуется,Lalaser Land,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,гибкий график,"Частичная занятость, гибкий график",Активные продажи;Аппаратная косметология;Навыки продаж;Консультирование клиентов;Массаж лица;Эстетическая косметология;,https://almaty.hh.kz/vacancy/80463047
Техник,113,з/п не указана,не требуется,АО Алма Телекоммуникейшнс Казахстан ( ТМ АЛМА-ТВ),Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотность;Планирование карьеры;Сервис;,https://almaty.hh.kz/vacancy/80827704
"Мастер по Ремонту телефонов, ноутбуков",111,от 200 000 до 400 000 KZT до вычета налогов,не требуется,ИП ШАЦКИЙ ДМИТРИЙ ВЛАДИМИРОВИЧ,Вакансия опубликована 16 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Ремонт ПК;Пользователь ПК;Грамотная речь;Сборка ПК;Настройка ПК;,https://almaty.hh.kz/vacancy/80467285
Тайный покупатель,40,з/п не указана,не требуется,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Караганде,Алматы,полный день,"Проектная работа/разовое задание, полный день",Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239869
Администратор \ повар в офис,40,от 200 000 KZT до вычета налогов,не требуется,ТОО Common Market Corporation,Вакансия опубликована 17 мая 2023 в Караганде,Алматы,полный день,"Частичная занятость, полный день",Общественное питание;Умение работать в команде;,https://almaty.hh.kz/vacancy/79160651
Рекрутер,118,от 180 000 до 200 000 KZT на руки,не требуется,ТОО Алып-2008,Вакансия опубликована 23 мая 2023 в Караганде,"Караганда, микрорайон Степной-3, 3Б",полный день,"Полная занятость, полный день",Телефонные переговоры;Грамотная речь;Навыки работы с возражениями;Проведение собеседований;Уверенное знание ПК;Грамотная письменная речь;Желание работать и развиваться;Составление планов по подбору;Поиск информации в интернет;Анализ текущей ситуации;,https://almaty.hh.kz/vacancy/80891049
Кредитный консультант,57,от 150 000 до 200 000 KZT до вычета налогов,не требуется,ТОО МФО Touchzaim,Вакансия опубликована 26 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81073540
Специалист технической поддержки,121,от 140 000 KZT на руки,не требуется,ТОО WOOPPAY,Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Быстрый набор текста;Работа в команде;Казахский язык;Грамотная речь;Работа с большим объемом информации;Пользователь ПК;,https://almaty.hh.kz/vacancy/75956479
Сотрудник Павильона,40,от 140 000 KZT до вычета налогов,не требуется,ТОО BURЖУЙ,Вакансия опубликована 27 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",фаст-фуд;Желание обучаться;Стремление развиваться;,https://almaty.hh.kz/vacancy/80362578
Помощник повара,40,от 100 000 до 100 000 KZT на руки,не требуется,ТОО ДМЦ АЗБУКА,Вакансия опубликована 24 мая 2023 в Караганде,"Караганда, улица Луначарского, 31А",полный день,"Полная занятость, полный день",Честный;Санпин;,https://almaty.hh.kz/vacancy/80922267
Оператор 1C на склад,39,до 150 000 KZT до вычета налогов,не требуется,ТОО VozoVoz Казахстан,Вакансия опубликована 18 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 81/1",полный день,"Полная занятость, полный день","Работа с оргтехникой;Ведение архива;Пользователь ПК;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80633896
Мерчендайзер по работе с ключевыми клиентами (супермаркетами),77,от 190 000 KZT на руки,не требуется,ТОО Рахат-Караганда,Вакансия опубликована 15 мая 2023 в Караганде,"Караганда, улица Молокова, 104/2",полный день,"Полная занятость, полный день",Работа в команде;Контроль сроков годности;Коммуникация;Мерчандайзинг;Мобильный мерчандайзинг;Выкладка товаров;,https://almaty.hh.kz/vacancy/80431591
Медицинский представитель,65,от 200 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80996290
Интернет-маркетолог,68,от 150 000 до 200 000 KZT на руки,не требуется,ТОО Сириус Авто,Вакансия опубликована 27 мая 2023 в Караганде,"Караганда, Стартовый переулок, 61А",полный день,"Полная занятость, полный день",Контекстная реклама;SEO оптимизация;Ведение групп в социальных сетях;Google AdWords;Английский — A1 — Начальный;Казахский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80412339
Дефектоскопист,49,з/п не указана,не требуется,ТОО Казфитингпласт,Вакансия опубликована 12 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80350549
Спортивный журналист,41,от 220 000 до 220 000 KZT до вычета налогов,не требуется,ТОО СИА Sports.kz,Вакансия опубликована 26 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Грамотность;Поиск информации в интернет;MS Access;Русский язык;Пунктуальность;,https://almaty.hh.kz/vacancy/37436199
Эксперт-оценщик,40,от 150 000 до 250 000 KZT на руки,не требуется,ТОО Ломбард «Евразия»,Вакансия опубликована 6 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 75",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80175721
