Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Эксперт-оценщик в ломбард,57,от 130 000 до 180 000 KZT на руки,не требуется,ТОО Elex lombard-UK,Вакансия опубликована 28 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80488610
Слесарь по обслуживанию и ремонту оборудования на подземных горных работах,115,з/п не указана,не требуется,Уральская горно-металлургическая компания,Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80697387
Выездной менеджер,129,от 180 000 KZT на руки,не требуется,ИП МҰҚТАРОВ ДАМИР САПИЯНҰЛЫ VIP-Сервис,Вакансия опубликована 27 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Деловое общение;Грамотная речь;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80924489
Электрик,143,от 200 000 KZT на руки,не требуется,"ТОО Багратион Улан, ТОО",Вакансия опубликована 3 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80015730
Электрогазосварщик,109,з/п не указана,не требуется,"Усть-Каменогорские тепловые сети, АО",Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Сварочные работы;Ремонтные работы;Техническое обслуживание;,https://almaty.hh.kz/vacancy/79336543
Оценщик в ломбард,57,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Астра-Лoмбард,Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день","Терпеливость;Работа с компьютером;Знание компьютера;Серьезность;Внимательность, ответственность;Грамотная речь;Коммуникабельность, ответственность;Пользователь ПК;",https://almaty.hh.kz/vacancy/80893669
Пекарь,94,з/п не указана,не требуется,ТОО MAGNUM. Защита активов и предотвращение потерь/Активтерді қорғау және шығындарды болдырмау,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80229477
Эксперт-оценщик,40,от 160 000 до 160 000 KZT на руки,не требуется,ТОО М-Ломбард,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,Алматы,сменный график,"Полная занятость, сменный график",Работа в команде;Грамотная речь;Обучение персонала;Ориентация на результат;Умение работать в команде;,https://almaty.hh.kz/vacancy/80227255
Инженер-проектировщик электротехнического/сантехнического отдела УПКИ,48,от 170 000 до 280 000 KZT до вычета налогов,не требуется,"АО УМЗ, АО",Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",AutoCAD;Разработка проектной документации;Проектная документация;Разработка технических заданий;Проектирование;,https://almaty.hh.kz/vacancy/80889329
Мясник-обвальщик,40,з/п не указана,не требуется,ТОО MAGNUM. Команда магазинов/Дүкендер командасы,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80229358
