Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Trade Activation Senior Specialist,40,з/п не указана,не требуется,ТОО АНТАЛ БИЗНЕС РЕШЕНИЯ (ТМ Antal Kazakhstan),Вакансия опубликована 30 апреля 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79945143
Менеджер по туризму,72,от 100 000 до 600 000 KZT до вычета налогов,не требуется,ИП Gias Logistics,Вакансия опубликована 1 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Активные продажи;Грамотная речь;Обучение и развитие;Навыки работы с возражениями;Навыки телефонных продаж;,https://almaty.hh.kz/vacancy/79951306
Флорист,40,от 80 000 до 200 000 KZT на руки,не требуется,ИП Нурлыбаев А.Б,Вакансия опубликована 24 апреля 2023 в Алматы,Алматы,сменный график,"Полная занятость, сменный график","Планирование карьеры;Грамотность;Продажи физическим лицам;Навыки продаж;Управление отношениями с клиентами;оформление заказов;Опыт личностного общения и успешных продаж;Умение работать с людьми;Способность быстро обучаться;навыки межличностного делового общения;Чистоплотность;Высокая энергичность и инициативность;Умение управлять временем;умение слушать, давать компетентные советы, находить подход к клиентам;Терпеливость;Деловое лидерство;Английский — A1 — Начальный;Казахский — B2 — Средне-продвинутый;Русский — C1 — Продвинутый;",https://almaty.hh.kz/vacancy/79729023
Flutter Разработчик (стажер),96,з/п не указана,не требуется,ТОО MAK IT,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, улица Утеген Батыра, 76А",полный день,"Стажировка, полный день",Dart;Flutter;ООП;Работа в команде;Терпение;Желание обучаться;Основы программирования;Умение работать в условиях многозадачности;Готовность обучаться;Критически мыслить;Казахский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80502086
Специалист по работе с просроченной задолженностью,120,от 170 000 до 700 000 KZT на руки,не требуется,ТОО Микрофинансовая организация Finbox,Вакансия опубликована 24 апреля 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79701567
Монтажник,78,от 150 000 до 750 000 KZT до вычета налогов,не требуется,ТОО «Компания «DoorHan Technology,Вакансия опубликована 2 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79965749
Специалист документооборота по грузоперевозкам,67,от 250 000 KZT до вычета налогов,не требуется,ТОО КазГофроТрейд,Вакансия опубликована 5 мая 2023 в Алматы,"Алматы, Жибек Жолы, проспект Жибек Жолы, 76",полный день,"Полная занятость, полный день",Документооборот;Пользователь ПК;Деловое общение;Навыки продаж;Многозадачность;Ведение клиентской базы;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80127713
Помощник бухгалтера,18,от 100 000 до 150 000 KZT на руки,не требуется,ТОО AVITIM,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, проспект Абая, 52В",полный день,"Полная занятость, полный день",1С: Бухгалтерия;Способность быстро обучаться;Умение работать с большим количеством информации;,https://almaty.hh.kz/vacancy/80401006
Сборщик-продавец,40,з/п не указана,не требуется,ИП МУСАЗОВА,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80518385
Менеджер - логист,67,от 200 000 KZT на руки,не требуется,ТОО Blitz logistics,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, Алатауский район, улица Ырысты, 17",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80211512
