Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Администратор студии загара,8,от 150 000 до 190 000 KZT на руки,ИП Маслова А.А,Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, микрорайон Степной-3, 3Б",полный день,Полная занятость,Пользователь ПК;,https://almaty.hh.kz/vacancy/80789785,,
Дизайнер-консультант,34,от 180 000 до 250 000 KZT на руки,ИП Макаренко А.Ю,Вакансия опубликована 16 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 59/2",полный день,Полная занятость,CorelDRAW;Пользователь ПК;Adobe Photoshop;Креативность;Графические редакторы;Photoshop;Готовность к командному труду;Желание обучаться;Грамотная речь;Творческое мышление;Творческий;Быстро учусь;Творчество;Продажи;,https://almaty.hh.kz/vacancy/80470631,,Массмедиа
Менеджер по работе с водителями,5,от 200 000 до 350 000 KZT на руки,ИП ИП ИГЕНОВ Е М,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80886656,,Сервисное обслуживание/производство
Стажер в отдел снабжения (г. Караганда),66,з/п не указана,АО ИП Эфес Казахстан,Вакансия опубликована 29 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81198379,,Менеджмент
Ассистент менеджера проектов в студию декора,40,от 100 000 до 200 000 KZT до вычета налогов,ИП КУРУМБАЕВА Л.И.,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Работа в условиях многозадачности;Грамотная речь;Желание развиваться творчески;Коммуникативные навыки;,https://almaty.hh.kz/vacancy/80436339,,
Менеджер в офис,40,от 180 000 до 240 000 KZT на руки,ТОО GFcom,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Пользователь ПК;Работа с поставщиками;оформление заказов;оформление документации;Internet;,https://almaty.hh.kz/vacancy/80856419,,
Контент-менеджер,3,до 200 000 KZT на руки,ИП Студия развития бизнеса OnLike.kz,Вакансия опубликована 3 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Грамотность;Ответственность;,https://almaty.hh.kz/vacancy/80019819,,Менеджмент
Ассистент-помощник,68,от 150 000 KZT на руки,ТОО AtlantMarket,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Грамотная речь;Пользователь ПК;Грамотность;Работа в условиях многозадачности;Телефонные переговоры;Работа в команде;Умение работать с людьми;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/80893964,,Менеджмент
Специалист в типографию,86,от 170 000 KZT до вычета налогов,"Типография Идиллия tip, ИП Марченко",Вакансия опубликована 23 мая 2023 в Караганде,"Караганда, улица Алиханова, 37",полный день,Полная занятость,Пользователь ПК;Умение работать в команде;Поиск информации в интернет;Навыки межличностного общения;Станки ЧПУ;CorelDRAW;Творческое мышление;Лазерная техника;Малярные работы;Деревообработка;,https://almaty.hh.kz/vacancy/79985019,,Сервисное обслуживание/производство
Менеджер по туризму,72,от 100 000 до 400 000 KZT на руки,ТОО KEREMET-TOUR,Вакансия опубликована 9 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Заключение договоров;Пользователь ПК;Ведение переговоров;Работа в команде;Телефонные переговоры;Агентские продажи;Активные продажи;Русский — B1 — Средний;Казахский — A2 — Элементарный;,https://almaty.hh.kz/vacancy/80198001,,
