Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Бухгалтер (средней квалификации),Финансы и бухучет,от 103 500 тенге,"ИП ""Асылай""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/bukhgalter-(srednei-kvalifikacii)~3042075,Первое рабочее место,Финансы
Техник-строитель,Строительство и архитектура,от 103 500 тенге,ИП Коркем,Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Управление полным циклом строительства;,https://enbek.kz/ru/vacancy/tekhnik-stroitel~3043189,Первое рабочее место,Строительство и архитектура
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП Коркем,Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3043190,Первое рабочее место,Финансы
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 103 500 тенге,"""GS Group""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,"Сотрудничество с родителями, социальными партнерами;",https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~3043208,Молодежная практика,
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"ИП ""Successful company""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3043210,Первое рабочее место,Медицина
Воспитатель,Образование и воспитание,от 103 500 тенге,"ИП ""Successful company""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Знание методов диагностики личностного потенциала обучающего;,https://enbek.kz/ru/vacancy/vospitatel~3043211,Молодежная практика,
Теолог,Культура и спорт,от 103 500 тенге,"Общественный фонд ""Центр помощи пострадавшим от деструктивных религиозных течений ""Шапагат""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Разработка и руководство учебными курсами и программами религиозного образования;,https://enbek.kz/ru/vacancy/teolog~3049709,Первое рабочее место,
Педагог начальной школы,Образование и воспитание,от 103 500 тенге,"ИП Алимгалиева Г.Т. ""ЫРЫС""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~3044564,Молодежная практика,
Юрист,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ASI Expert""",Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Заключение договоров и контрактов;,https://enbek.kz/ru/vacancy/yurist~3041490,Молодежная практика,Юриспруденция
Няня в детском саду,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ОРДА Султан""",Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Уход за младенцем;,https://enbek.kz/ru/vacancy/nyanya-v-detskom-sadu~3041104,Молодежная практика,
