Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Швейцар,40,з/п не указана,ТОО Милдом Отель,Вакансия опубликована 19 мая 2023 в Алматы,"Алматы, улица Богенбай батыра, 128",сменный график,Полная занятость,Работа в команде;Грамотная речь;Деловое общение;Английский язык;Презентабельный внешний вид;Деловая этика;,https://almaty.hh.kz/vacancy/79731006,,
Мерчендайзер (оператор выкладки),77,з/п не указана,ТОО Magnum E-commerce Kazakhstan,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, улица Байтурсынова, 22/1",полный день,Полная занятость,Работа в команде;Умение работать в команде;Контроль сроков годности;Способность обучать других;Google Chrome;,https://almaty.hh.kz/vacancy/78710223,,
Техник,111,з/п не указана,ТОО Almatytrade,Вакансия опубликована 12 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80334900,,Сервисное обслуживание/производство
Менеджер по подбору персонала,118,до 550 000 KZT на руки,"ТОО Этажи, ТМ (ТОО Etagi Almaty)",Вакансия опубликована 26 мая 2023 в Алматы,"Алматы, Абая, проспект Назарбаева, 223",полный день,Полная занятость,Грамотная речь;Работа в команде;Обучение и развитие;Обучение персонала;Подбор персонала;Подбор сотрудников;Набор персонала;Умение слушать;Массовый подбор персонала;Адаптация персонала;,https://almaty.hh.kz/vacancy/76311222,,Менеджмент
Менеджер по туризму в корпоративный отдел,40,от 150 000 до 200 000 KZT на руки,ТОО Global Air,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Муратбаева, 189",полный день,Полная занятость,Деловая переписка;Грамотная речь;бронирование отелей;Бронирование гостиниц;Аренда автомобилей;Свободное владение английским языком;Телефонные переговоры;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80802261,,
Техник сервисного центра,113,з/п не указана,АО Алма Телекоммуникейшнс Казахстан ( ТМ АЛМА-ТВ),Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79354780,,IT
Продавец-консультант АЗС,40,от 110 000 до 150 000 KZT на руки,ТОО Гелиос,Вакансия опубликована 5 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Грамотная речь;Контроль сроков годности;Работа в команде;Работа с клиентами;Точность и внимательность к деталям;Управление складскими запасами;Консультация клиентов;,https://almaty.hh.kz/vacancy/77689106,,
Travel Expert / GDS (удаленно),72,от 400 до 800 USD до вычета налогов,KIVORK,Вакансия опубликована 26 мая 2023 в Алматы,Алматы,удаленная работа,Полная занятость,Английский язык;Работа с большим объемом информации;Поиск информации в интернет;Грамотность;Аналитическое мышление;Системное мышление;математика;точные науки;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80187106,,
Оператор выращивания дрожжей,49,до 160 000 KZT на руки,АО Алматинский дрожжевой завод,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, улица Нурмакова, 2",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80623873,,Сервисное обслуживание/производство
Офис-менеджер,40,от 150 000 KZT до вычета налогов,ТОО Төре Логистик,Вакансия опубликована 17 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80599241,,
Специалист Дирекции Soft Collection,40,з/п не указана,АО Банк ЦентрКредит,Вакансия опубликована 27 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Умение работать в команде;Работа с базами данных;MS Internet Explorer;,https://almaty.hh.kz/vacancy/78647082,,
"Советник по научно-медицинским вопросам (MSL, неврология)",40,з/п не указана,TEVA,Вакансия опубликована 24 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Английский язык;Мобильность;Работа в команде;Деловая коммуникация;Водительское удостоверение категории B;,https://almaty.hh.kz/vacancy/79822589,,
Менеджер по логистике со знанием английского языка,67,от 180 000 KZT на руки,ТОО Shenber Link,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, улица Шолохова, 17/7",полный день,Полная занятость,Пользователь ПК;Ведение переговоров;Грамотная речь;Организаторские навыки;Деловая переписка;Умение работать в команде;Телефонные переговоры;,https://almaty.hh.kz/vacancy/80923037,,
Оператор выкладки,77,з/п не указана,ТОО Magnum E-commerce Kazakhstan,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, улица Толе Би, 285",сменный график,Полная занятость,"Работа в команде;Способность обучать других;Планирование карьеры;Работа в условиях многозадачности;Коммуникабельность, стрессоустойчивость;Выкладка товаров;Мерчандайзинг;Управление складскими запасами;Пополнение товарных запасов;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;",https://almaty.hh.kz/vacancy/71919012,,
