Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Администратор/Кредитный менеджер в Автосалон,8,от 100 000 до 150 000 KZT на руки,ТОО Carplaza,Вакансия опубликована 23 мая 2023 в Актау,Актау,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80917130,,
Озеленитель (на сезон),40,от 100 000 KZT до вычета налогов,ТОО Oil Real Estate,Вакансия опубликована 17 мая 2023 в Актау,Алматы,полный день,Полная занятость,"Коммуникабельность, ответственность;Работа в команде;Умение правильно расставлять приоритеты;",https://almaty.hh.kz/vacancy/80585446,,
Помощник нотариуса,145,от 90 000 KZT на руки,Частный нотариус Абулхасов Г.С,Вакансия опубликована 6 мая 2023 в Актау,Алматы,полный день,Полная занятость,Грамотная речь;Прием посетителей;Грамотность;Делопроизводство;Работа с людьми;,https://almaty.hh.kz/vacancy/80173186,,
Торговый представитель по оптовым поставкам,129,от 195 000 до 217 000 KZT на руки,ТОО МАРЛЕНТРАНСАВТО,Вакансия опубликована 25 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81042561,,
Инспектор по взысканию долгов,137,от 150 000 KZT на руки,ТОО Бюро по работе с должниками,Вакансия опубликована 22 мая 2023 в Актау,Алматы,полный день,Полная занятость,"Знание и умение работать на ПК, желательно знание казахского языка;;Казахский — B1 — Средний;",https://almaty.hh.kz/vacancy/80795884,,Финансы
Ассистент категорийного менеджера,123,от 120 000 до 150 000 KZT на руки,ТОО ADM Group Company,Вакансия опубликована 18 мая 2023 в Актау,Алматы,полный день,Полная занятость,1С: Документооборот;Знание 1С;Работа с компьютером;Составление отчетности;Ведение документации;Умение работать в команде;Умение адаптироваться;Ответственность и пунктуальность;Excel;Способность работать с документами;Желание работать и зарабатывать;,https://almaty.hh.kz/vacancy/80627542,,
Водитель с личным авто (легковое авто),40,от 140 000 до 150 000 KZT на руки,ТОО Мирас Вест Компани,Вакансия опубликована 3 мая 2023 в Актау,"Актау, 8-й микрорайон, 7",полный день,Полная занятость,Работа в команде;Водительское удостоверение категории B;Мобильность;Личный автомобиль;Работа в условиях многозадачности;Вождение автомобиля;Наличие автомобиля;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80062099,,
Бухгалтер,18,от 200 000 до 250 000 KZT до вычета налогов,ТОО KICOM-SECURITY,Вакансия опубликована 5 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80136945,,Финансы
Преподаватель по рисованию,132,от 75 000 до 150 000 KZT на руки,ИП DigitalMan,Вакансия опубликована 19 мая 2023 в Актау,Алматы,полный день,Частичная занятость,Живопись;Грамотная речь;Работа в команде;Деловое общение;Навыки межличностного общения;Обучение;Творческое мышление;,https://almaty.hh.kz/vacancy/80723847,,
SMM-менеджер,3,от 120 000 до 180 000 KZT на руки,ТОО (ИнстаМакс),Вакансия опубликована 10 мая 2023 в Актау,Алматы,полный день,Полная занятость,Копирайтинг;Adobe Photoshop;Грамотность;Казахский — B1 — Средний;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80216570,,Менеджмент
