Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Отдел жилищных отношений города Павлодара""",Вакансия опубликована 26.04.2023,Адреса нет,полный день,Проектная работа,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yurist~3055986,Молодежная практика,Юриспруденция
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент по управлению земельными ресурсами Павлодарской области Комитета по управлению земельными ресурсами Министерства сельского хозяйства Республики Казахстан""",Вакансия опубликована 26.04.2023,Адреса нет,полный день,Проектная работа,"Ведение кассовых, организационно-распорядительных, отчетных документов;",https://enbek.kz/ru/vacancy/bukhgalter~3056920,Молодежная практика,Финансы
Фельдшер,Медицина и фармацевтика,от 103 500 тенге,HEALTH HOUSE,Вакансия опубликована 26.04.2023,Адреса нет,полный день,Проектная работа,"Санитарный надзор, организация и проведение противоэпидемических мероприятий;",https://enbek.kz/ru/vacancy/feldsher~3057044,Молодежная практика,Медицина
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,ИП Рожнов,Вакансия опубликована 21.04.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3055969,Молодежная практика,
Помощник юриста,Юриспруденция,от 103 500 тенге,"Индивидуальный предприниматель ""ТАЗА""",Вакансия опубликована 21.04.2023,Адреса нет,полный день,Проектная работа,"Разработка положений о сделках (договорах), связанных с приобретением или отчуждением имущества;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3055240,Молодежная практика,Юриспруденция
Финансист,Финансы и бухучет,от 103 500 тенге,"Индивидуальный предприниматель ""ТАЗА""",Вакансия опубликована 21.04.2023,Адреса нет,полный день,Проектная работа,Финансово-хозяйственная деятельность;,https://enbek.kz/ru/vacancy/finansist~3055241,Молодежная практика,Финансы
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,"Индивидуальный предприниматель ""ТАЗА""",Вакансия опубликована 21.04.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~3055242,Молодежная практика,Финансы
Юрисконсульт,Юриспруденция,от 103 500 тенге,ЧСИ ОМАРОВ КАЙРАТ КАБПАСОВИЧ,Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yuriskonsult~3043772,Молодежная практика,Юриспруденция
Помощник юриста,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ERTIS Construction Ltd""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3044608,Первое рабочее место,Юриспруденция
Офис-менеджер,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ERTIS Construction Ltd""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Подготовка писем и обращений;,https://enbek.kz/ru/vacancy/ofis-menedzher~3044609,Первое рабочее место,Менеджмент
Офис-менеджер,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Домостроительный комбинат ""Ертіс""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Подготовка писем и обращений;,https://enbek.kz/ru/vacancy/ofis-menedzher~3044638,Первое рабочее место,Менеджмент
Финансист,Финансы и бухучет,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан по Павлодарской области""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Экономический анализ хозяйственно-финансовой деятельности;,https://enbek.kz/ru/vacancy/finansist~3051514,Молодежная практика,Финансы
Сварщик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""НикТрейд""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,"Ручная дуговая сварка неплавящимся электродом (РАД) сварных швов элементов конструкции (изделий, узлов, деталей);",https://enbek.kz/ru/vacancy/svarshchik~3050217,Молодежная практика,Сервисное обслуживание/производство
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Департамент полиции Павлодарской области Министерства внутренних дел Республики Казахстан""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Контроль соблюдения законодательных актов;,https://enbek.kz/ru/vacancy/yurist~3048624,Первое рабочее место,Юриспруденция
Экономист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Департамент полиции Павлодарской области Министерства внутренних дел Республики Казахстан""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Составление бюджета предприятия;,https://enbek.kz/ru/vacancy/ekonomist~3048625,Молодежная практика,Финансы
