Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Изготовитель мясных полуфабрикатов,Производство,от 103 500 тенге,ИП СЕРІКБАЙ,Вакансия опубликована 28.02.2023,Адреса нет,полный день,Проектная работа,Обеспечение нормативного выхода готовой мясной продукции;,https://enbek.kz/ru/vacancy/izgotovitel-myasnykh-polufabrikatov~2949325,Первое рабочее место,Сервисное обслуживание/производство
Кондитер,Производство,от 103 500 тенге,ИП Мухамеджанова КК,Вакансия опубликована 27.02.2023,Адреса нет,полный день,Проектная работа,Производство кондитерских изделий;,https://enbek.kz/ru/vacancy/konditer~2952299,Молодежная практика,Сервисное обслуживание/производство
Кассир (билетный),Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Жезказган Дана-Транс""",Вакансия опубликована 27.02.2023,Адреса нет,полный день,Проектная работа,Вести кассовую книгу;,https://enbek.kz/ru/vacancy/kassir-(biletnyi)~2952167,Молодежная практика,Финансы
Кассир общепита,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Жезказган Дана-Транс""",Вакансия опубликована 27.02.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/kassir-obshchepita~2952166,Молодежная практика,Финансы
Тренер-преподаватель по спорту,Образование и воспитание,от 103 500 тенге,"ИП Футбольный центр ""ADS""",Вакансия опубликована 23.02.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/trener-prepodavatel-po-sportu~2938718,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"ИП ""АЙТАКЫН""",Вакансия опубликована 22.02.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2943191,Молодежная практика,Финансы
Административный секретарь,HR и секретариат,от 103 500 тенге,"ИП ""Айша""",Вакансия опубликована 22.02.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/administrativnyi-sekretar~2944948,Первое рабочее место,Менеджмент
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"ИП ""Айша""",Вакансия опубликована 22.02.2023,Адреса нет,полный день,Проектная работа,"Эксплуатация контрольно-кассовой техники (ККТ), выполнение расчета с покупателями;",https://enbek.kz/ru/vacancy/bukhgalter~2944955,Молодежная практика,Финансы
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,"ИП ""КУАТБЕКОВА""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Разработка маркетинговых мероприятий для продвижения товара;,https://enbek.kz/ru/vacancy/smm-menedzher~2934343,Первое рабочее место,Журналистика
Юрист,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Самади-2030""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~2928686,Молодежная практика,Юриспруденция
Электромеханик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Самади-2030""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Выполнение электромеханических работ;,https://enbek.kz/ru/vacancy/elektromekhanik~2928718,Первое рабочее место,Сервисное обслуживание/производство
Техник-химик лаборант,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Самади-2030""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Анализ показателей химического сырья и химической продукции;,https://enbek.kz/ru/vacancy/tekhnik-khimik-laborant~2928719,Первое рабочее место,Сервисное обслуживание/производство
Слесарь-электрик по ремонту низковольтного и высоковольтного электрооборудования,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Самади-2030""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,"ТО, ремонт электрического и электронного оборудования;",https://enbek.kz/ru/vacancy/slesar-elektrik-po-remontu-nizkovoltnogo-i-vysokovoltnogo-elektrooborudovaniya~2928720,Первое рабочее место,Сервисное обслуживание/производство
Педагог начальной школы,Образование и воспитание,от 103 500 тенге,ИП ЖАНЖИГИТОВА АЛТЫНАЙ,Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~2927796,Первое рабочее место,
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП ЖАНЖИГИТОВА АЛТЫНАЙ,Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2927797,Первое рабочее место,Журналистика
Воспитатель,Образование и воспитание,от 103 500 тенге,ИП ЖАНЖИГИТОВА АЛТЫНАЙ,Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~2927798,Первое рабочее место,
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,ИП ЖАНЖИГИТОВА АЛТЫНАЙ,Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,Оказание помощи инвалидам и лицам с ограниченными возможностями здоровья;,https://enbek.kz/ru/vacancy/logoped-defektolog~2927799,Первое рабочее место,
Преподаватель по физической культуре,Образование и воспитание,от 103 500 тенге,ИП ЖАНЖИГИТОВА АЛТЫНАЙ,Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/prepodavatel-po-fizicheskoi-kulture~2927801,Первое рабочее место,
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП Касенова А.А.,Вакансия опубликована 15.02.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2927937,Первое рабочее место,Журналистика
Экономист,Финансы и бухучет,от 103 500 тенге,"Общественное объединение ""Общество инвалидов Парасат-2030""",Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Подготовка документов;,https://enbek.kz/ru/vacancy/ekonomist~2926742,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Организация бухгалтерского учета и финансово-хозяйственной деятельности;,https://enbek.kz/ru/vacancy/bukhgalter~2926514,Молодежная практика,Финансы
Учитель русского языка и литературы,Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на казахском языке;,https://enbek.kz/ru/vacancy/uchitel-russkogo-yazyka-i-literatury~2926515,Молодежная практика,
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Оказание помощи инвалидам и лицам с ограниченными возможностями здоровья;,https://enbek.kz/ru/vacancy/logoped-defektolog~2926517,Молодежная практика,
Учитель изобразительного искусства,Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Разработка эскизов рисунков;,https://enbek.kz/ru/vacancy/uchitel-izobrazitelnogo-iskusstva~2926518,Молодежная практика,
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2926519,Молодежная практика,
Учитель химии,Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Планирование учебного занятия;,https://enbek.kz/ru/vacancy/uchitel-khimii~2926520,Молодежная практика,
Учитель физики,Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Планирование учебного занятия;,https://enbek.kz/ru/vacancy/uchitel-fiziki~2926521,Молодежная практика,
Учитель истории,Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/uchitel-istorii~2926522,Молодежная практика,
Учитель математики (алгебра и геометрия),Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Планирование учебного занятия;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~2926523,Молодежная практика,
Учитель русского языка и литературы,Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на казахском языке;,https://enbek.kz/ru/vacancy/uchitel-russkogo-yazyka-i-literatury~2926535,Первое рабочее место,
Медицинский массажист,Медицина и фармацевтика,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskii-massazhist~2926536,Первое рабочее место,Медицина
Учитель самопознания начального образования,Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/uchitel-samopoznaniya-nachalnogo-obrazovaniya~2926537,Первое рабочее место,
Учитель казахского языка и литературы,Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~2926538,Первое рабочее место,
Учитель математики (алгебра и геометрия),Образование и воспитание,от 103 500 тенге,ИП Аяулым,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Планирование учебного занятия;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~2926539,Первое рабочее место,
Ассистент (общий профиль),HR и секретариат,от 103 500 тенге,Коммунальное государственное учреждение «Центр занятости населения акимата города Жезказган области Ұлытау»,Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/assistent-(obshchii-profil)~2916895,Молодежная практика,Менеджмент
