Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Сервисный инженер,111,от 200 000 KZT на руки,ТОО НАДЕКС СЕРВИС,Вакансия опубликована 16 мая 2023 в Шымкенте,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80481276,,Сервисное обслуживание/производство
Специалист по работе с документами,40,от 150 000 KZT на руки,ИП Пшенбаев,Вакансия опубликована 26 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81103869,,
Менеджер чата,121,от 100 000 KZT до вычета налогов,ТОО СЕЙЛЗ ЭНД СЕРВИС,Вакансия опубликована 24 мая 2023 в Шымкенте,"Шымкент, проспект Абая, 4В",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/79260453,,
Жарщик попкорна,40,от 120 000 до 120 000 KZT до вычета налогов,"ТОО Cinema property management, ТОО",Вакансия опубликована 2 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,способность быстро обучаться и легко воспринимать крупные объемы информации;,https://almaty.hh.kz/vacancy/79968203,,
Оператор ПК,84,з/п не указана,ТОО Сеть вкусного питания «Блинчик» (Избушка -Кормушка),Вакансия опубликована 17 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80586254,,IT
Юрист,145,от 55 000 руб. на руки,BY business group,Вакансия опубликована 29 мая 2023 в Шымкенте,"Шымкент, улица Мадели кожа, 65",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81206078,,
Пиццамейкер в Додо Пиццу,94,от 200 000 KZT на руки,ТОО La Tomatina,Вакансия опубликована 13 мая 2023 в Шымкенте,"Шымкент, улица Токаева, 27",сменный график,Полная занятость,Работа в команде;Честный;Многозадачность;Желание расти и развиваться;Спокойствие;Способность быстро обучаться;Умение расставлять приоритеты;Дружелюбность;Чистоплотность;Опрятность;Внимательность к мелочам;Эффективное принятие решений;Казахский — A2 — Элементарный;Русский — A2 — Элементарный;,https://almaty.hh.kz/vacancy/79078182,,
Офис менеджер,34,от 120 000 до 150 000 KZT на руки,ИП КЕРЕМЕТ,Вакансия опубликована 13 мая 2023 в Шымкенте,"Шымкент, улица Рыскулова, 33В",полный день,Полная занятость,Телефонные переговоры;Закупка рекламных материалов;1C: Предприятие;Знание MS Office;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80381556,,Массмедиа
Санитарка/санитар,40,от 110 000 KZT на руки,ТОО SHYMKENT MEDICAL SERVICES,Вакансия опубликована 22 мая 2023 в Шымкенте,"Шымкент, улица Ерманова, 11",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80818432,,
Лаборант (сезонная работа),79,з/п не указана,ТОО Шымкентский пивоваренный завод,Вакансия опубликована 26 мая 2023 в Шымкенте,Алматы,сменный график,Проектная работа/разовое задание,Работа в команде;Планирование карьеры;,https://almaty.hh.kz/vacancy/79368094,,Наука
Junior Marketing QA Engineer,124,з/п не указана,ТОО G5EN KAZ,Вакансия опубликована 24 мая 2023 в Шымкенте,Алматы,удаленная работа,Полная занятость,Русский — C1 — Продвинутый;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80920224,,IT
Юрист начального уровня,146,от 260 000 KZT на руки,ИП Пшенбаев,Вакансия опубликована 26 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81103628,,
