Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Музыкальный руководитель,Культура и спорт,от 103 500 тенге,Частное дошкольное учреждение «Детский сад «Алтын сақа»,Вакансия опубликована 06.03.2023,Адреса нет,полный день,Проектная работа,Использование шумов и музыки совместно с музыкальными редакторами;,https://enbek.kz/ru/vacancy/muzykalnyi-rukovoditel~2960320,Первое рабочее место,
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Кызылординский областной центр психического здоровья"" управления здравоохранения Кызылординской области""",Вакансия опубликована 03.03.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2966617,Молодежная практика,Медицина
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Мой Доктор""",Вакансия опубликована 02.03.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~2963628,Первое рабочее место,Менеджмент
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Городская поликлиника № 4"" управления здравоохранения Кызылординской области""",Вакансия опубликована 02.03.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2963568,Молодежная практика,Медицина
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,Товарищество с ограниченной ответственностью «Детский сад «Ай - Тоша»,Вакансия опубликована 02.03.2023,Адреса нет,полный день,Проектная работа,Оказание лечебно-профилактической помощи;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2962697,Молодежная практика,Медицина
Хореограф,Культура и спорт,от 103 500 тенге,"Негосударственное образовательное учреждение ясли-сад ""Шуағым""",Вакансия опубликована 01.03.2023,Адреса нет,полный день,Проектная работа,Владение методологией творческого процесса в танцевальном коллективе;,https://enbek.kz/ru/vacancy/khoreograf~2960873,Молодежная практика,
Учитель физической культуры и спорта,Образование и воспитание,от 103 500 тенге,"Негосударственное образовательное учреждение ясли-сад ""Шуағым""",Вакансия опубликована 01.03.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/uchitel-fizicheskoi-kultury-i-sporta~2960872,Молодежная практика,
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Негосударственное образовательное учреждение ясли-сад ""Шуағым""",Вакансия опубликована 01.03.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2960870,Молодежная практика,Медицина
Воспитатель,Образование и воспитание,от 103 500 тенге,"Негосударственное образовательное учреждение ясли-сад ""Шуағым""",Вакансия опубликована 01.03.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~2960874,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,Частное дошкольное учреждение «Детский сад «Алтын сақа»,Вакансия опубликована 01.03.2023,Адреса нет,полный день,Проектная работа,Проведение воспитательных мероприятий;,https://enbek.kz/ru/vacancy/vospitatel~2960321,Первое рабочее место,
