Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Электрик по эксплуатации электрических сетей,Энергетика,от 103 500 тенге,ИП ГАСАНОВ З.М.,Вакансия опубликована 07.03.2023,Адреса нет,полный день,Проектная работа,Электромонтаж кабельных сетей;,https://enbek.kz/ru/vacancy/elektrik-po-ekspluatacii-elektricheskikh-setei~2970531,Первое рабочее место,Сервисное обслуживание/производство
Техник-электрик,Энергетика,от 103 500 тенге,ИП УШАКОВ АЛЕКСАНДР СЕРГЕЕВИЧ,Вакансия опубликована 26.02.2023,Адреса нет,полный день,Проектная работа,"ТО, замена приборов и измерение электрических параметров;",https://enbek.kz/ru/vacancy/tekhnik-elektrik~2951939,Молодежная практика,Сервисное обслуживание/производство
Техник-теплотехник,Энергетика,от 103 500 тенге,ИП УШАКОВ АЛЕКСАНДР СЕРГЕЕВИЧ,Вакансия опубликована 26.02.2023,Адреса нет,полный день,Проектная работа,Эксплуатация силовых приводов и оборудования насосных установок;,https://enbek.kz/ru/vacancy/tekhnik-teplotekhnik~2951930,Молодежная практика,Сервисное обслуживание/производство
Офис-менеджер,HR и секретариат,от 103 500 тенге,ИП БОНДАРЦЕВ П.М.,Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,Администрирование канцелярских и офисных принадлежностей;,https://enbek.kz/ru/vacancy/ofis-menedzher~2935224,Первое рабочее место,Менеджмент
Делопроизводитель,HR и секретариат,от 103 500 тенге,ИП БОНДАРЦЕВ П.М.,Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,Учет и регистрация документов;,https://enbek.kz/ru/vacancy/deloproizvoditel~2935225,Первое рабочее место,Менеджмент
Маркетолог,Маркетинг и СМИ,от 103 500 тенге,ИП БОНДАРЦЕВ П.М.,Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,Проведение переговоров и формирование коммерческих документов и соглашений;,https://enbek.kz/ru/vacancy/marketolog~2935226,Молодежная практика,Журналистика
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП БОНДАРЦЕВ П.М.,Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,"Эксплуатация контрольно-кассовой техники (ККТ), выполнение расчета с покупателями;",https://enbek.kz/ru/vacancy/bukhgalter~2935227,Молодежная практика,Финансы
Техник-программист,IT и телекоммуникации,от 103 500 тенге,ИП БОНДАРЦЕВ П.М.,Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,Проведение технического обслуживания оборудования;,https://enbek.kz/ru/vacancy/tekhnik-programmist~2935228,Молодежная практика,IT
Фармацевт (средней квалификации),Медицина и фармацевтика,от 103 500 тенге,"Петропавловский филиал товарищества с ограниченной ответственностью ""ФАРМАКОМ""",Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,Знание фармакологии;,https://enbek.kz/ru/vacancy/farmacevt-(srednei-kvalifikacii)~2934295,Первое рабочее место,Медицина
Инспектор по кадрам,HR и секретариат,от 103 500 тенге,Республиканское государственное учреждение «Департамент Агентства Республики Казахстан по противодействию коррупции (Антикоррупционной службы) по Северо-Казахстанской области»,Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,"Подбор, отбор, расстановка кадров;",https://enbek.kz/ru/vacancy/inspektor-po-kadram~2932051,Молодежная практика,Менеджмент
