Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости
Педагог начальной школы,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),ИП Жаналиева Г К,Вакансия опубликована 23.02.2023,Адреса нет,полный рабочий день,временная,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~2948248,Первое рабочее место
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""Ваш Баланс""",Вакансия опубликована 23.02.2023,Адреса нет,полный рабочий день,временная,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~2948247,Первое рабочее место
Ассистент бухгалтера,Финансы и бухучет,от 138 000 тенге,высшее,TIS CENTER,Вакансия опубликована 23.02.2023,Адреса нет,полный рабочий день,временная,Составление баланса и оперативных сводных отчетов;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~2948235,Молодежная практика
Юрист,Юриспруденция,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Объединение юридических лиц ""Союз Кризисных Центров""",Вакансия опубликована 23.02.2023,Адреса нет,полный рабочий день,временная,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~2947067,Первое рабочее место
Оператор-швея,Производство,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),ИП ӘШКЕН,Вакансия опубликована 22.02.2023,Адреса нет,полный рабочий день,временная,Проведение работ по обслуживанию клиентов;,https://enbek.kz/ru/vacancy/operator-shveya~2945759,Первое рабочее место
Программист-аналитик,IT и телекоммуникации,от 138 000 тенге,техническое и профессиональное,"Общественное объединение ""Просветительский центр реабилитации и индивидуальных программ инвалидов ""Фирдаус""",Вакансия опубликована 21.02.2023,Адреса нет,полный рабочий день,временная,Сервисное обслуживание аппаратного и программного обеспечения;,https://enbek.kz/ru/vacancy/programmist-analitik~2943842,Молодежная практика
Швея,Производство,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Ай Гермес""",Вакансия опубликована 21.02.2023,Адреса нет,полный рабочий день,временная,Работы по пошиву изделий по индивидуальным заказам;,https://enbek.kz/ru/vacancy/shveya~2942842,Молодежная практика
Учитель изобразительного искусства,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),Smart Choice,Вакансия опубликована 21.02.2023,Адреса нет,полный рабочий день,временная,Разработка эскизов рисунков;,https://enbek.kz/ru/vacancy/uchitel-izobrazitelnogo-iskusstva~2942257,Первое рабочее место
Ветеринарная медсестра,Медицина и фармацевтика,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Cito Vet"" (Цитовет)",Вакансия опубликована 20.02.2023,Адреса нет,полный рабочий день,временная,Умение работать в команде;,https://enbek.kz/ru/vacancy/veterinarnaya-medsestra~2939472,Молодежная практика
Учитель иностранного языка,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"ИП ""БЕК-ЖАН""",Вакансия опубликована 20.02.2023,Адреса нет,полный рабочий день,временная,Рефлексия и анализ педагогической деятельности;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~2939134,Молодежная практика
