Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости
Юрист,Юриспруденция,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""ТАҢ-ММ.секьюрити""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yurist~2839354,Молодежная практика
Воспитатель,Образование и воспитание,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Детский сад Аян-Ай""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Проведение воспитательных мероприятий;,https://enbek.kz/ru/vacancy/vospitatel~2839459,Молодежная практика
Журналист,Маркетинг и СМИ,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""КИНО-ПЛЮС""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,"Поддержка веб-страницы компании в Интернете, социальных сетях;",https://enbek.kz/ru/vacancy/zhurnalist~2839668,Молодежная практика
Делопроизводитель,HR и секретариат,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),Игиликова Айнур,Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Ведение делопроизводства;,https://enbek.kz/ru/vacancy/deloproizvoditel~2839831,Первое рабочее место
Ассистент бухгалтера,Финансы и бухучет,от 138 000 тенге,высшее,"Общественное объединение ""Высший молодежный совет""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~2840561,Молодежная практика
Архитектор-дизайнер,Строительство и архитектура,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""K.A.Z. Mobili""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Обеспечение корректности и оптимальности архитектуры проекта;,https://enbek.kz/ru/vacancy/arkhitektor-dizainer~2840658,Молодежная практика
Сборщик мебели (деревянной),Производство,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""K.A.Z. Mobili""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Сборка и разборка мебели;,https://enbek.kz/ru/vacancy/sborshchik-mebeli-(derevyannoi)~2840659,Первое рабочее место
Архитектор-дизайнер,Строительство и архитектура,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Bildex""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Определение элементов архитектуры системы;,https://enbek.kz/ru/vacancy/arkhitektor-dizainer~2840726,Молодежная практика
Сборщик мебели (деревянной),Производство,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""Bildex""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Сборка и разборка мебели;,https://enbek.kz/ru/vacancy/sborshchik-mebeli-(derevyannoi)~2840727,Первое рабочее место
Архитектор-дизайнер,Строительство и архитектура,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""BAAS SOLUTIONS""""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Составление архитектурных проектов объектов озеленения;,https://enbek.kz/ru/vacancy/arkhitektor-dizainer~2840736,Молодежная практика
Сборщик мебели (деревянной),Производство,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""BAAS SOLUTIONS""""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Сборка и разборка мебели;,https://enbek.kz/ru/vacancy/sborshchik-mebeli-(derevyannoi)~2840738,Первое рабочее место
Переводчик синхронный,Наука и консалтинг,от 138 000 тенге,высшее,"ИП ДРУЖИНИНА Е.А. ""TALENT""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Навыки синхронного перевода;,https://enbek.kz/ru/vacancy/perevodchik-sinkhronnyi~2841046,Молодежная практика
Техник-геолог,Строительство и архитектура,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""АлматыГидроГеология""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,подготовка гидрогеологической документации;,https://enbek.kz/ru/vacancy/tekhnik-geolog~2841204,Первое рабочее место
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""Рекрутинговая компания Elite""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2841363,Первое рабочее место
Кредитный агент,Финансы и бухучет,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""R-Finance""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,"Консультирование клиентов о продуктах, ценах, наличии или условии кредитования;",https://enbek.kz/ru/vacancy/kreditnyi-agent~2841422,Первое рабочее место
Фармацевт (провизор),Медицина и фармацевтика,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Общественное объединение ""Национальный кабинет защиты прав потребителей""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Предметно-количественный учет лекарственных средств;,https://enbek.kz/ru/vacancy/farmacevt-(provizor)~2841764,Первое рабочее место
Юрист,Юриспруденция,от 138 000 тенге,высшее,"Общественное объединение ""Национальный кабинет защиты прав потребителей""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yurist~2841769,Молодежная практика
Артист балета,Культура и спорт,от 138 000 тенге,техническое и профессиональное,"Коммунальное государственное казенное предприятие ""Казахский государственный цирк"" Управления культуры города Алматы",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Владение методологией творческого процесса в танцевальном коллективе;,https://enbek.kz/ru/vacancy/artist-baleta~2841894,Молодежная практика
Учитель русского языка и литературы,Образование и воспитание,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Detskiy sad ""Koktobe""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Моделирование урока;,https://enbek.kz/ru/vacancy/uchitel-russkogo-yazyka-i-literatury~2842482,Молодежная практика
Логопед-дефектолог,Образование и воспитание,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Detskiy sad ""Koktobe""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Организация образовательного процесса;,https://enbek.kz/ru/vacancy/logoped-defektolog~2842483,Молодежная практика
Помощник воспитателя,Образование и воспитание,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""Detskiy sad ""Koktobe""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Игра с детьми;,https://enbek.kz/ru/vacancy/pomoshchnik-vospitatelya~2842484,Первое рабочее место
Делопроизводитель,HR и секретариат,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""Detskiy sad ""Koktobe""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Ведение электронной базы данных;,https://enbek.kz/ru/vacancy/deloproizvoditel~2842485,Первое рабочее место
Логопед,Образование и воспитание,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""PRIVATE SCHOOL ""KOKTOBE""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Работа с учащимися с особыми потребностями;,https://enbek.kz/ru/vacancy/logoped~2842493,Молодежная практика
Помощник бухгалтера,Финансы и бухучет,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""PRIVATE SCHOOL ""KOKTOBE""",Вакансия опубликована 16.01.2023,Адреса нет,полный рабочий день,временная,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~2842494,Молодежная практика
