Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Портной,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ШВЕЙНАЯ ФАБРИКА ""TAILOR-S""",Вакансия опубликована 23.01.2023,Адреса нет,полный день,Проектная работа,Сборка и пошив;,https://enbek.kz/ru/vacancy/portnoi~2868789,Молодежная практика,Сервисное обслуживание/производство
Кредитный менеджер,Финансы и бухучет,от 103 500 тенге,Ipoteka Group Kz,Вакансия опубликована 20.01.2023,Адреса нет,полный день,Проектная работа,Выполнение расчетов и платежных обязательств;,https://enbek.kz/ru/vacancy/kreditnyi-menedzher~2866443,Молодежная практика,Финансы
Кредитный менеджер,Финансы и бухучет,от 103 500 тенге,Ipoteka Group Kz,Вакансия опубликована 20.01.2023,Адреса нет,полный день,Проектная работа,Выполнение расчетов и платежных обязательств;,https://enbek.kz/ru/vacancy/kreditnyi-menedzher~2866447,Первое рабочее место,Финансы
Помощник юриста,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Прокуратура Павлодарской области""",Вакансия опубликована 20.01.2023,Адреса нет,полный день,Проектная работа,Проверка соответствия законодательству документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2855213,Молодежная практика,Юриспруденция
Ассистент (общий профиль),HR и секретариат,от 103 500 тенге,"Государственное учреждение ""Управление полиции города Экибастуза Департамента полиции Павлодарской области Министерства внутренних дел Республики Казахстан""",Вакансия опубликована 20.01.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/assistent-(obshchii-profil)~2857076,Молодежная практика,Менеджмент
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Управление полиции города Экибастуза Департамента полиции Павлодарской области Министерства внутренних дел Республики Казахстан""",Вакансия опубликована 20.01.2023,Адреса нет,полный день,Проектная работа,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yurist~2857134,Первое рабочее место,Юриспруденция
Портной,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ШВЕЙНАЯ ФАБРИКА ""TAILOR-S""",Вакансия опубликована 18.01.2023,Адреса нет,полный день,Проектная работа,Точное шитье различных типов одежды на машинах;,https://enbek.kz/ru/vacancy/portnoi~2860653,Первое рабочее место,Сервисное обслуживание/производство
Помощник учителя,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 9"" отдела образования города Экибастуза "", управления образования Павлодарской области",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Подготовка рабочего места учителя;,https://enbek.kz/ru/vacancy/pomoshchnik-uchitelya~2857324,Молодежная практика,
Учитель казахского языка и литературы,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 9"" отдела образования города Экибастуза "", управления образования Павлодарской области",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~2857325,Молодежная практика,
Ассистент (общий профиль),HR и секретариат,от 103 500 тенге,"государственное учреждение ""Отдел культуры, развития языков, физической культуры и спорта акимата города Экибастуза""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/assistent-(obshchii-profil)~2857281,Молодежная практика,Менеджмент
Экономист,Финансы и бухучет,от 103 500 тенге,"государственное учреждение ""Отдел культуры, развития языков, физической культуры и спорта акимата города Экибастуза""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Внедрение плановой и учетной документации;,https://enbek.kz/ru/vacancy/ekonomist~2857283,Первое рабочее место,Финансы
Делопроизводитель,HR и секретариат,от 103 500 тенге,"государственное учреждение ""Отдел культуры, развития языков, физической культуры и спорта акимата города Экибастуза""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Учет и регистрация документов;,https://enbek.kz/ru/vacancy/deloproizvoditel~2857287,Первое рабочее место,Менеджмент
Помощник юриста,Юриспруденция,от 103 500 тенге,"государственное учреждение ""Отдел культуры, развития языков, физической культуры и спорта акимата города Экибастуза""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2857288,Первое рабочее место,Юриспруденция
Экономист,Финансы и бухучет,от 103 500 тенге,"государственное учреждение ""Аппарат акима города Экибастуза Павлодарской области""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,Финансовое планирование;,https://enbek.kz/ru/vacancy/ekonomist~2843393,Первое рабочее место,Финансы
Ассистент (общий профиль),HR и секретариат,от 103 500 тенге,"государственное учреждение ""Аппарат акима города Экибастуза Павлодарской области""",Вакансия опубликована 17.01.2023,Адреса нет,полный день,Проектная работа,"Учет и хранение, передача документов в подразделения;",https://enbek.kz/ru/vacancy/assistent-(obshchii-profil)~2843395,Молодежная практика,Менеджмент
Политолог,Наука и консалтинг,от 103 500 тенге,"Павлодарский областной филиал общественного объединения ""Партия ""AMANAT""",Вакансия опубликована 16.01.2023,Адреса нет,полный день,Проектная работа,Ответственность;,https://enbek.kz/ru/vacancy/politolog~2839726,Молодежная практика,Наука
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Центр культуры ""Атамұра"" отдела культуры, развития языков, физической культуры и спорта акимата города Экибастуза",Вакансия опубликована 16.01.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2840633,Первое рабочее место,Финансы
Инженер по охране труда и технике безопасности,Энергетика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Богатырь Комир""",Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,"Контроль наличия необходимых средств защиты, перед началом работы;",https://enbek.kz/ru/vacancy/inzhener-po-okhrane-truda-i-tekhnike-bezopasnosti~2844123,Молодежная практика,Сервисное обслуживание/производство
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Отдел занятости и социальных программ акимата города Экибастуза""",Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yurist~2843164,Молодежная практика,Юриспруденция
Экономист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Отдел занятости и социальных программ акимата города Экибастуза""",Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Планирование инвестбюджета;,https://enbek.kz/ru/vacancy/ekonomist~2843165,Молодежная практика,Финансы
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2842982,Первое рабочее место,
Учитель иностранного языка начального образования,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka-nachalnogo-obrazovaniya~2842983,Первое рабочее место,
Учитель казахского языка и литературы,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Моделирование урока;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~2842985,Первое рабочее место,
Воспитатель,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Знание методов диагностики личностного потенциала обучающего;,https://enbek.kz/ru/vacancy/vospitatel~2842986,Первое рабочее место,
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/logoped-defektolog~2842987,Первое рабочее место,
Помощник учителя,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Соблюдение педагогического такта и правил педагогической этики;,https://enbek.kz/ru/vacancy/pomoshchnik-uchitelya~2842993,Молодежная практика,
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Работа с учащимися с особыми потребностями;,https://enbek.kz/ru/vacancy/logoped-defektolog~2842994,Молодежная практика,
Учитель казахского языка и литературы,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Рефлексия и анализ педагогической деятельности;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~2842995,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/vospitatel~2842996,Молодежная практика,
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2842997,Молодежная практика,
Учитель иностранного языка начального образования,Образование и воспитание,от 103 500 тенге,ИП ЖАКЫПБЕКОВА,Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka-nachalnogo-obrazovaniya~2842998,Молодежная практика,
Помощник юриста,Юриспруденция,от 103 500 тенге,"товарищество с ограниченной ответственностью ""Экибастузкоммунсервис""",Вакансия опубликована 10.01.2023,Адреса нет,полный день,Проектная работа,Работа с претензиями;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2833372,Первое рабочее место,Юриспруденция
