Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,ИП КУЛЬЖАБАЕВА,Вакансия опубликована 17.03.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~2984233,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП КУЛЬЖАБАЕВА,Вакансия опубликована 17.03.2023,Адреса нет,полный день,Проектная работа,Начисление и перечисление налоговых и других обязательных платежей;,https://enbek.kz/ru/vacancy/bukhgalter~2984234,Молодежная практика,Финансы
Учитель казахского языка и литературы,Образование и воспитание,от 103 500 тенге,"ИП ""Дамыту орталығы Da Vinci""",Вакансия опубликована 16.03.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на казахском языке;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~2987470,Молодежная практика,
Фармацевт (провизор),Медицина и фармацевтика,от 103 500 тенге,"Усть-Каменогорский филиал товарищества с ограниченной ответственностью ""ФАРМАКОМ""",Вакансия опубликована 15.03.2023,Адреса нет,полный день,Проектная работа,Предметно-количественный учет лекарственных средств;,https://enbek.kz/ru/vacancy/farmacevt-(provizor)~2984877,Молодежная практика,Медицина
Офис-менеджер,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Учебный центр Renaissance""",Вакансия опубликована 15.03.2023,Адреса нет,полный день,Проектная работа,Администрирование канцелярских и офисных принадлежностей;,https://enbek.kz/ru/vacancy/ofis-menedzher~2975569,Первое рабочее место,Менеджмент
"Монтажник приборов и аппаратуры автоматического контроля, регулирования и управления",Энергетика,от 103 500 тенге,"ИП  ""ЭнБиС- сервис""",Вакансия опубликована 13.03.2023,Адреса нет,полный день,Проектная работа,Выполнение электромонтажных работ;,"https://enbek.kz/ru/vacancy/montazhnik-priborov-i-apparatury-avtomaticheskogo-kontrolya,-regulirovaniya-i-upravleniya~2979608",Молодежная практика,Сервисное обслуживание/производство
Воспитатель,Образование и воспитание,от 103 500 тенге,"ИП ""MIRAS""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Знание методов диагностики личностного потенциала обучающего;,https://enbek.kz/ru/vacancy/vospitatel~2977357,Молодежная практика,
Дизайнер мебели,Производство,от 103 500 тенге,ИП Айзере,Вакансия опубликована 02.03.2023,Адреса нет,полный день,Проектная работа,Разработка дизайна новой продукции;,https://enbek.kz/ru/vacancy/dizainer-mebeli~2961115,Молодежная практика,Сервисное обслуживание/производство
Обработчик рыбы,Производство,от 103 500 тенге,ИП Аяужан,Вакансия опубликована 28.02.2023,Адреса нет,полный день,Проектная работа,отлов;,https://enbek.kz/ru/vacancy/obrabotchik-ryby~2956001,Первое рабочее место,Сервисное обслуживание/производство
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""СтатусЪ""",Вакансия опубликована 24.02.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2941245,Молодежная практика,Финансы
